	236120	33731.42
望京	82252	11750.28
回龙观	80794	11542.0
黄村	77221	11031.57
北苑	77069	11009.85
天通苑	65073	9296.14
昌平县城	58562	8366.0
清河	57037	8148.14
上地	54915	7845.0
沙河镇	50279	7182.71
双井	44077	6296.71
国贸	41282	5897.42
劲松	41223	5889.0
亦庄	40217	5745.28
亚运村	37416	5345.14
梨园	37319	5331.28
方庄	34659	4951.28
立水桥	34071	4867.28
酒仙桥	33883	4840.42
西直门	29291	4184.42
管庄	29048	4149.71
百子湾	28843	4120.42
中关村	28545	4077.85
马家堡	28087	4012.42
广安门	28011	4001.57
潘家园	27993	3999.0
果园	27968	3995.42
马驹桥	26452	3778.85
芍药居	26267	3752.42
定福庄	26130	3732.85
鲁谷	25531	3647.28
良乡	25510	3644.28
五道口	25025	3575.0
西红门	24196	3456.57
密云	23018	3288.28
霍营	22549	3221.28
学院路	22414	3202.0
六里桥	22296	3185.14
知春路	21959	3137.0
常营	21432	3061.71
西三旗	21189	3027.0
团结湖	21117	3016.71
北七家	20608	2944.0
四惠	20544	2934.85
双桥	20064	2866.28
土桥	20033	2861.85
东直门	19934	2847.71
其他	19857	2836.71
CBD	19279	2754.14
胜利	19233	2747.57
三元桥	18730	2675.71
玉泉营	18553	2650.42
朝青板块	18516	2645.14
四季青	17928	2561.14
安贞	17782	2540.28
人民大学	17726	2532.28
崇文门	17628	2518.28
旧宫	17465	2495.0
青塔	17051	2435.85
后沙峪	16647	2378.14
右安门	16573	2367.57
马连洼	15764	2252.0
东四	15728	2246.85
双榆树	15491	2213.0
大峪	15061	2151.57
牡丹园	14913	2130.42
武夷花园	14858	2122.57
马连道	14660	2094.28
魏公村	14485	2069.28
刘家窑	14474	2067.71
垡头	14296	2042.28
光明	14166	2023.71
长阳	14069	2009.85
石园	13999	1999.85
东坝	13766	1966.57
五棵松	13745	1963.57
十里堡	13612	1944.57
西大望路	12887	1841.0
科技园区	12869	1838.42
和平里	12819	1831.28
定慧寺	12446	1778.0
田村	12412	1773.14
东四十条	12390	1770.0
安定门	12260	1751.42
北关环岛	11930	1704.28
窦店	11775	1682.14
朝阳公园	11750	1678.57
西坝河	11572	1653.14
西二旗	11548	1649.71
宋家庄	11441	1634.42
苏州街	11427	1632.42
九棵树	11386	1626.57
红庙	11254	1607.71
房山城关	11190	1598.57
古城	11170	1595.71
花家地	10773	1539.0
北沙滩	10746	1535.14
石佛营	10684	1526.28
新华大街	10611	1515.85
梨园城铁	10264	1466.28
德胜门	10044	1434.85
广渠门	9987	1426.71
十八里店	9928	1418.28
马坡	9808	1401.14
西北旺	9477	1353.85
惠新里	9463	1351.85
蒲黄榆	9405	1343.57
怀柔	9297	1328.14
紫竹桥	9276	1325.14
北大地	9259	1322.71
卢沟桥	8999	1285.57
皂君庙	8866	1266.57
龙泽	8842	1263.14
小营	8722	1246.0
朝阳门	8703	1243.28
呼家楼	8642	1234.57
太阳宫	8584	1226.28
世纪城	8370	1195.71
苹果园	8222	1174.57
朝外	8202	1171.71
甜水园	8192	1170.28
八角	8179	1168.42
岳各庄	8115	1159.28
西罗园	8003	1143.28
二里庄	7993	1141.85
北大清华	7958	1136.85
陶然亭	7914	1130.57
阜成门	7854	1122.0
大山子	7783	1111.85
小西天	7717	1102.42
八里庄	7713	1101.85
工体	7706	1100.85
洋桥	7691	1098.71
花市	7592	1084.57
白纸坊	7509	1072.71
交道口	7485	1069.28
万寿路	7478	1068.28
公主坟	7465	1066.42
杨镇	7400	1057.14
玉泉路	7305	1043.57
平谷镇	7247	1035.28
和平街	7235	1033.57
丽泽桥	7194	1027.71
大红门	6972	996.0
东大桥	6820	974.28
豆各庄	6805	972.14
永定路	6781	968.71
草桥	6704	957.71
新街口	6631	947.28
新发地	6627	946.71
机场	6600	942.85
万柳	6575	939.28
王府井	6513	930.42
三里屯	6480	925.71
牛街	6424	917.71
高碑店	6232	890.28
甘露园	6143	877.57
天坛	6064	866.28
北太平庄	6050	864.28
月坛	6009	858.42
健翔桥	5906	843.71
姚家园	5864	837.71
长椿街	5775	825.0
赵公口	5731	818.71
角门	5718	816.85
蓟门桥	5514	787.71
木樨园	5359	765.57
奥运村	5350	764.28
菜户营	5333	761.85
宣武门	5227	746.71
成寿寺	5150	735.71
来广营	5125	732.14
甘家口	5075	725.0
西单	5053	721.85
小关	4943	706.14
金融街	4928	704.0
军博	4910	701.42
马甸	4887	698.14
大屯	4863	694.71
左家庄	4818	688.28
西苑	4738	676.85
丰台体育馆	4724	674.85
天竺	4644	663.42
永定门	4595	656.42
杨庄	4524	646.28
永定	4516	645.14
华威桥	4382	626.0
北新桥	4340	620.0
乔庄	4217	602.42
花园桥	4192	598.85
菜市口	4166	595.14
小汤山	4139	591.28
积水潭	4132	590.28
七里庄	4072	581.71
花乡	4010	572.85
红莲	3851	550.14
北洼路	3832	547.42
航天桥	3787	541.0
丰台路	3776	539.42
三里河	3708	529.71
什刹海	3616	516.57
前门	3546	506.57
木樨地	3534	504.85
香山	3514	502.0
燕莎	3405	486.42
长辛店	3392	484.57
玉桥	3387	483.85
西客站	3386	483.71
西四	3385	483.57
车道沟	3239	462.71
柳芳	3133	447.57
南苑	3129	447.0
阎村	3118	445.42
国展	3028	432.57
六铺炕	3018	431.14
交通大学	2990	427.14
天桥	2906	415.14
水碓子	2837	405.28
老山	2789	398.42
安慧桥	2778	396.85
仁和	2723	389.0
展览路	2719	388.42
西便门	2715	387.85
南口	2660	380.0
世界公园	2648	378.28
龙潭湖	2637	376.71
雍和宫	2627	375.28
模式口	2449	349.85
和义	2409	344.14
五里店	2284	326.28
南磨房	2247	321.0
百万庄	2243	320.42
白石桥	2219	317.0
建国门	2126	303.71
百善	2002	286.0
复兴门	1997	285.28
虎坊桥	1970	281.42
金顶街	1924	274.85
南礼士路	1904	272.0
灯市口	1829	261.28
东单	1812	258.85
迎风	1812	258.85
光明楼	1797	256.71
车公庄	1794	256.28
建外大街	1677	239.57
和平门	1674	239.14
云岗	1589	227.0
景山	1518	216.85
官园	1447	206.71
临河里	1409	201.28
大钟寺	1401	200.14
海运仓	1359	194.14
龙泉	1352	193.14
万泉河	1309	187.0
新国展	1287	183.85
左安门	1240	177.14
东高地	1184	169.14
城子街道	1163	166.14
南彩	1108	158.28
后海	967	138.14
增光路	959	137.0
小红门	946	135.14
沙子口	933	133.28
法华寺	854	122.0
五里坨	806	115.14
庞各庄	791	113.0
兴寿	772	110.28
泉河	767	109.57
军庄	750	107.14
韩村河	734	104.85
王辛庄	716	102.28
万寿寺	622	88.85
马池口	608	86.85
八达岭	587	83.85
南邵	565	80.71
南菜园	546	78.0
西山	533	76.14
滨河	530	75.71
八宝山	515	73.57
体育馆路	513	73.28
溪翁庄	488	69.71
白广路	462	66.0
庙城	437	62.42
城北	409	58.42
李桥	406	58.0
潭柘寺	375	53.57
东辛房	357	51.0
康庄	330	47.14
潞城	327	46.71
城南	307	43.85
雁栖	301	43.0
沙滩	299	42.71
兴谷	282	40.28
延庆	212	30.28
嘉园	207	29.57
妙峰山	187	26.71
衙门口	166	23.71
十三陵	131	18.71
杨宋	119	17.0
广宁	108	15.42
八大处	96	13.71
北房	77	11.0
永宁	49	7.0
太师屯	31	4.42
九渡河	30	4.28
桥梓	30	4.28
阳坊	25	3.57
长陵	8	1.14
古北口	2	0.28
清水	1	0.14
