short_name	domain	short_name	url
井陉	sjz	石家庄	jingxing
井陉矿区	sjz	石家庄	jingxingkuangqu
元氏	sjz	石家庄	yuanshi
平山	sjz	石家庄	pingshan
开发区	sjz	石家庄	kaifaqu
新乐	sjz	石家庄	xinle
新华	sjz	石家庄	xinhua
无极	sjz	石家庄	wuji
晋州	sjz	石家庄	jinzhou
栾城	sjz	石家庄	luancheng
桥东	sjz	石家庄	qiaodong
桥西	sjz	石家庄	qiaoxi
正定	sjz	石家庄	zhengding
深泽	sjz	石家庄	shenze
灵寿	sjz	石家庄	lingshou
藁城	sjz	石家庄	gaocheng
行唐	sjz	石家庄	xingtang
裕华	sjz	石家庄	yuhua
赞皇	sjz	石家庄	zanhuang
赵县	sjz	石家庄	zhaoxian
辛集	sjz	石家庄	xinji
长安	sjz	石家庄	changan
高邑	sjz	石家庄	gaoyi
鹿泉	sjz	石家庄	luquan
丰南区	tangshan	唐山	fengnan
丰润区	tangshan	唐山	fengrun
乐亭	tangshan	唐山	leting
南堡开发区	tangshan	唐山	nanpukaifa
古冶区	tangshan	唐山	guye
唐海	tangshan	唐山	tanghai
开平区	tangshan	唐山	kaiping
曹妃甸	tangshan	唐山	caofeidian
汉沽农场	tangshan	唐山	hangunongchang
海港开发区	tangshan	唐山	haigangkaifa
滦南	tangshan	唐山	luannan
滦县	tangshan	唐山	luanxian
玉田	tangshan	唐山	yutian
芦台农场	tangshan	唐山	lutainongchang
路北区	tangshan	唐山	lubei
路南区	tangshan	唐山	lunan
迁安	tangshan	唐山	qianan
迁西	tangshan	唐山	qianxi
遵化	tangshan	唐山	zunhua
高新区	tangshan	唐山	gaoxinqu
北戴河区	qinhuangdao	秦皇岛	beidaihe
卢龙	qinhuangdao	秦皇岛	lulong
山海关区	qinhuangdao	秦皇岛	shanhaiguan
抚宁	qinhuangdao	秦皇岛	funing
昌黎	qinhuangdao	秦皇岛	changli
海港区	qinhuangdao	秦皇岛	haigang
青龙	qinhuangdao	秦皇岛	qinglong
丛台区	handan	邯郸	congtai
临漳	handan	邯郸	linzhang
复兴区	handan	邯郸	fuxing
大名	handan	邯郸	daming
峰峰矿区	handan	邯郸	fengfengkuang
广平	handan	邯郸	guangping
成安	handan	邯郸	chengan
曲周	handan	邯郸	quzhou
武安区	handan	邯郸	wuan
永年	handan	邯郸	yongnian
涉县	handan	邯郸	shexian
磁县	handan	邯郸	cixian
肥乡	handan	邯郸	feixiang
邯山区	handan	邯郸	hanshan
邯郸县	handan	邯郸	handanxian
邱县	handan	邯郸	qiuxian
馆陶	handan	邯郸	guantao
魏县	handan	邯郸	weixian
鸡泽	handan	邯郸	jize
临城	xingtai	邢台	lincheng
临西	xingtai	邢台	linxi
任县	xingtai	邢台	renxian
内丘	xingtai	邢台	neiqiu
南和	xingtai	邢台	nanhe
南宫	xingtai	邢台	nangong
威县	xingtai	邢台	weixian
宁晋	xingtai	邢台	ningjin
巨鹿	xingtai	邢台	julu
平乡	xingtai	邢台	pingxiang
广宗	xingtai	邢台	guangzong
新河	xingtai	邢台	xinhe
柏乡	xingtai	邢台	baixiang
桥东区	xingtai	邢台	qiaodong
桥西区	xingtai	邢台	qiaoxi
沙河	xingtai	邢台	shahe
清河	xingtai	邢台	qinghe
邢台县	xingtai	邢台	xingtaixian
隆尧	xingtai	邢台	longyao
北市区	baoding	保定	beishi
南市区	baoding	保定	nanshi
博野	baoding	保定	boye
唐县	baoding	保定	tangxian
安国	baoding	保定	anguo
安新	baoding	保定	anxin
定兴	baoding	保定	dingxing
定州	baoding	保定	dingzhou
容城	baoding	保定	rongcheng
徐水	baoding	保定	xushui
新市区	baoding	保定	xinshi
易县	baoding	保定	yixian
曲阳	baoding	保定	quyang
望都	baoding	保定	wangdou
涞水	baoding	保定	laishui
涞源	baoding	保定	laiyuan
涿州	baoding	保定	zhuozhou
清苑	baoding	保定	qingyuan
满城	baoding	保定	mancheng
蠡县	baoding	保定	lixian
阜平	baoding	保定	fuping
雄县	baoding	保定	xiongxian
顺平	baoding	保定	shunping
高开区	baoding	保定	gaokai
高碑店	baoding	保定	gaobeidian
高阳	baoding	保定	gaoyang
万全	zhangjiakou	张家口	wanquan
下花园区	zhangjiakou	张家口	xiahuayuan
宣化	zhangjiakou	张家口	xuanhua
宣化区	zhangjiakou	张家口	xuanhuaqu
尚义	zhangjiakou	张家口	shangyi
崇礼	zhangjiakou	张家口	chongli
康保	zhangjiakou	张家口	kangbao
张北	zhangjiakou	张家口	zhangbei
怀安	zhangjiakou	张家口	huaian
怀来	zhangjiakou	张家口	huailai
桥东区	zhangjiakou	张家口	qiaodong
桥西区	zhangjiakou	张家口	qiaoxi
沽源	zhangjiakou	张家口	guyuan
涿鹿	zhangjiakou	张家口	zhuolu
蔚县	zhangjiakou	张家口	weixian
赤城	zhangjiakou	张家口	chicheng
