城市	地铁路线	hah	url
bj	5号线(宋家庄--天通苑北)	啊	http://bj.ganji.com/fang1/ditie/l926/
bj	8号线(朱辛庄--南锣鼓巷)	啊	http://bj.ganji.com/fang1/ditie/l987/
bj	15号线(俸伯--望京西)	啊	http://bj.ganji.com/fang1/ditie/l1820/
bj	房山线(苏庄--郭公庄)	啊	http://bj.ganji.com/fang1/ditie/l1478/
bj	4号线(安河桥北--天宫院)	啊	http://bj.ganji.com/fang1/ditie/l1034/
bj	10号线(M10)(区间)(巴沟--火器营)	啊	http://bj.ganji.com/fang1/ditie/l2055/
bj	10号线(苏州街--巴沟)	啊	http://bj.ganji.com/fang1/ditie/l986/
bj	2号线(西直门--积水潭)	啊	http://bj.ganji.com/fang1/ditie/l14/
bj	昌平线(南邵--西二旗)	啊	http://bj.ganji.com/fang1/ditie/l1482/
bj	6号线(海淀五路居--草房)	啊	http://bj.ganji.com/fang1/ditie/l2049/
bj	1号线(苹果园--四惠东)	啊	http://bj.ganji.com/fang1/ditie/l11/
bj	13号线(西直门--东直门)	啊	http://bj.ganji.com/fang1/ditie/l35/
bj	八通线(四惠--土桥)	啊	http://bj.ganji.com/fang1/ditie/l4/
bj	机场专线(东直门--2号航站楼)	啊	http://bj.ganji.com/fang1/ditie/l1218/
bj	9号线(郭公庄--国家图书馆)	啊	http://bj.ganji.com/fang1/ditie/l2046/
bj	亦庄线(宋家庄--次渠)	啊	http://bj.ganji.com/fang1/ditie/l1505/
bj	14号线(张郭庄--西局)	啊	http://bj.ganji.com/fang1/ditie/l2053/
km	1号线(晓东村--大学城南)	啊	http://km.ganji.com/fang1/ditie/l1/
cc	3号线(长春站--长影世纪城)	啊	http://cc.ganji.com/fang1/ditie/l157/
cc	4号线(长春站北--车场站)	啊	http://cc.ganji.com/fang1/ditie/l255/
sh	9号线(杨高中路--松江南站)	啊	http://sh.ganji.com/fang1/ditie/l1232/
cd	2号线(犀浦--成都行政学院)	啊	http://cd.ganji.com/fang1/ditie/l512/
cd	1号线(升仙湖--世纪城)	啊	http://cd.ganji.com/fang1/ditie/l499/
cq	1号线(小什字--大学城)	啊	http://cq.ganji.com/fang1/ditie/l1/
cq	3号线(鱼洞--江北机场)	啊	http://cq.ganji.com/fang1/ditie/l3/
cq	6号线(北碚--五里店)	啊	http://cq.ganji.com/fang1/ditie/l9/
cq	2号线(较场口--新山村)	啊	http://cq.ganji.com/fang1/ditie/l2/
dl	九里支线(九里--开发区)	啊	http://dl.ganji.com/fang1/ditie/l2/
dl	保税区线(大连火车站--保税区)	啊	http://dl.ganji.com/fang1/ditie/l4/
dl	金石滩线(大连火车站--金石滩)	啊	http://dl.ganji.com/fang1/ditie/l3/
dl	九里线(九里--大连火车站)	啊	http://dl.ganji.com/fang1/ditie/l1/
gz	2号线(广州南站--嘉禾望岗)	啊	http://gz.ganji.com/fang1/ditie/l31/
gz	8号线(凤凰新村--万胜围)	啊	http://gz.ganji.com/fang1/ditie/l1519/
gz	1号线(广州东站--西朗)	啊	http://gz.ganji.com/fang1/ditie/l17/
gz	6号线(浔峰岗--长湴)	啊	http://gz.ganji.com/fang1/ditie/l1562/
gz	3号线北延段(机场南--体育西路)	啊	http://gz.ganji.com/fang1/ditie/l586/
gz	4号线(黄村--金洲)	啊	http://gz.ganji.com/fang1/ditie/l604/
gz	3号线(天河客运站--番禺广场)	啊	http://gz.ganji.com/fang1/ditie/l573/
gz	5号线(滘口--文冲)	啊	http://gz.ganji.com/fang1/ditie/l1215/
gz	APM线(林和西--广州塔)	啊	http://gz.ganji.com/fang1/ditie/l1561/
gz	广佛地铁(魁奇路--西朗)	啊	http://gz.ganji.com/fang1/ditie/l1558/
sz	蛇口线(赤湾--新秀)	啊	http://sz.ganji.com/fang1/ditie/l635/
nj	1号线(迈皋桥--奥体中心)	啊	http://nj.ganji.com/fang1/ditie/l74/
nj	2号线(油坊桥--经天路)	啊	http://nj.ganji.com/fang1/ditie/l540/
nj	1号线南延线(迈皋桥--中国药科大学站)	啊	http://nj.ganji.com/fang1/ditie/l539/
sy	2号线(三台子--全运路)	啊	http://sy.ganji.com/fang1/ditie/l319/
sh	11号线支线(罗山路--花桥)	啊	http://sh.ganji.com/fang1/ditie/l1528/
sh	3号线(上海南站--江杨北路)	啊	http://sh.ganji.com/fang1/ditie/l476/
sh	10号线支线(新江湾城--航中路)	啊	http://sh.ganji.com/fang1/ditie/l1466/
sh	6号线(港城路--东方体育中心)	啊	http://sh.ganji.com/fang1/ditie/l1230/
sh	1号线(富锦路--莘庄)	啊	http://sh.ganji.com/fang1/ditie/l474/
sh	12号线(天潼路--金海路)	啊	http://sh.ganji.com/fang1/ditie/l1710/
sh	磁悬浮(龙阳路--浦东国际机场)	啊	http://sh.ganji.com/fang1/ditie/l1200/
sh	4号线(宜山路--虹桥路)	啊	http://sh.ganji.com/fang1/ditie/l477/
sh	7号线(花木路--美兰湖)	啊	http://sh.ganji.com/fang1/ditie/l1367/
sh	10号线主线(新江湾城--虹桥火车站)	啊	http://sh.ganji.com/fang1/ditie/l1708/
sh	5号线(莘庄--闵行开发区)	啊	http://sh.ganji.com/fang1/ditie/l1068/
sh	2号线(浦东国际机场--徐泾东)	啊	http://sh.ganji.com/fang1/ditie/l475/
sh	8号线(沈杜公路--市光路)	啊	http://sh.ganji.com/fang1/ditie/l1231/
sh	11号线主线(罗山路--嘉定北)	啊	http://sh.ganji.com/fang1/ditie/l1371/
sh	16号线(罗山路--滴水湖)	啊	http://sh.ganji.com/fang1/ditie/l1714/
sh	13号线一期(金运路--金沙江路)	啊	http://sh.ganji.com/fang1/ditie/l1719/
sy	2号线北延线(三台子--航空航天大学)	啊	http://sy.ganji.com/fang1/ditie/l321/
sy	1号线(十三号街--黎明广场)	啊	http://sy.ganji.com/fang1/ditie/l307/
sz	罗宝线(罗湖--机场东)	啊	http://sz.ganji.com/fang1/ditie/l6/
sz	环中线(黄贝岭--前海湾)	啊	http://sz.ganji.com/fang1/ditie/l1079/
sz	龙岗线(益田--双龙)	啊	http://sz.ganji.com/fang1/ditie/l7/
sz	龙华线(清湖--福田口岸)	啊	http://sz.ganji.com/fang1/ditie/l8/
su	2号线(高铁苏州北--宝带桥南)	啊	http://su.ganji.com/fang1/ditie/l2/
tj	1号线(刘园--双林)	啊	http://tj.ganji.com/fang1/ditie/l327/
su	1号线(木渎--钟南街)	啊	http://su.ganji.com/fang1/ditie/l1/
tj	9号线(天津站--东海路)	啊	http://tj.ganji.com/fang1/ditie/l326/
tj	3号线(南站--小淀)	啊	http://tj.ganji.com/fang1/ditie/l336/
tj	2号线(曹庄--空港经济区)	啊	http://tj.ganji.com/fang1/ditie/l335/
wh	1号线(堤角--东吴大道)	啊	http://wh.ganji.com/fang1/ditie/l1/
wh	4号线(武昌火车站--武汉火车站)	啊	http://wh.ganji.com/fang1/ditie/l4/
wh	2号线(金银潭--光谷广场)	啊	http://wh.ganji.com/fang1/ditie/l2/
zz	1号线(西流湖--市体育中心)	啊	http://zz.ganji.com/fang1/ditie/l1/
xa	2号线(北客站--会展中心)	啊	http://xa.ganji.com/fang1/ditie/l337/
xa	1号线(后卫寨--纺织城)	啊	http://xa.ganji.com/fang1/ditie/l338/
hz	1号线(湘湖--文泽路)	啊	http://hz.ganji.com/fang1/ditie/l1/
hz	1号线支线(客运中心--临平)	啊	http://hz.ganji.com/fang1/ditie/l2/
km	6号线(东部汽车站--机场中心)	啊	http://km.ganji.com/fang1/ditie/l6/
hrb	1号线(哈东站--哈南站)	啊	http://hrb.ganji.com/fang1/ditie/l1/
