城市	地铁线路	URL	房源数
bj	5号线(宋家庄--天通苑北)	http://bj.ganji.com/fang5/ditie/l926/	162219
bj	8号线(朱辛庄--南锣鼓巷)	http://bj.ganji.com/fang5/ditie/l987/	166754
bj	15号线(俸伯--望京西)	http://bj.ganji.com/fang5/ditie/l1820/	92169
bj	房山线(苏庄--郭公庄)	http://bj.ganji.com/fang5/ditie/l1478/	25474
bj	4号线(安河桥北--天宫院)	http://bj.ganji.com/fang5/ditie/l1034/	203310
bj	10号线(M10)(区间)(巴沟--火器营)	http://bj.ganji.com/fang5/ditie/l2055/	301060
bj	10号线(苏州街--巴沟)	http://bj.ganji.com/fang5/ditie/l986/	299885
bj	2号线(西直门--积水潭)	http://bj.ganji.com/fang5/ditie/l14/	58247
bj	昌平线(南邵--西二旗)	http://bj.ganji.com/fang5/ditie/l1482/	33889
bj	6号线(海淀五路居--草房)	http://bj.ganji.com/fang5/ditie/l2049/	241954
bj	1号线(苹果园--四惠东)	http://bj.ganji.com/fang5/ditie/l11/	174451
bj	13号线(西直门--东直门)	http://bj.ganji.com/fang5/ditie/l35/	225897
bj	八通线(四惠--土桥)	http://bj.ganji.com/fang5/ditie/l4/	50531
bj	机场专线(东直门--2号航站楼)	http://bj.ganji.com/fang5/ditie/l1218/	56280
bj	9号线(郭公庄--国家图书馆)	http://bj.ganji.com/fang5/ditie/l2046/	33813
bj	亦庄线(宋家庄--次渠)	http://bj.ganji.com/fang5/ditie/l1505/	46730
bj	14号线(张郭庄--西局)	http://bj.ganji.com/fang5/ditie/l2053/	25580
km	1号线(晓东村--大学城南)	http://km.ganji.com/fang5/ditie/l1/	10719
cc	3号线(长春站--长影世纪城)	http://cc.ganji.com/fang5/ditie/l157/	62529
cc	4号线(长春站北--车场站)	http://cc.ganji.com/fang5/ditie/l255/	47433
sh	9号线(杨高中路--松江南站)	http://sh.ganji.com/fang5/ditie/l1232/	193607
cd	2号线(犀浦--成都行政学院)	http://cd.ganji.com/fang5/ditie/l512/	109163
cd	1号线(升仙湖--世纪城)	http://cd.ganji.com/fang5/ditie/l499/	101533
cq	1号线(小什字--大学城)	http://cq.ganji.com/fang5/ditie/l1/	75756
cq	3号线(鱼洞--江北机场)	http://cq.ganji.com/fang5/ditie/l3/	76074
cq	6号线(北碚--五里店)	http://cq.ganji.com/fang5/ditie/l9/	43701
cq	2号线(较场口--新山村)	http://cq.ganji.com/fang5/ditie/l2/	69826
dl	九里支线(九里--开发区)	http://dl.ganji.com/fang5/ditie/l2/	17292
dl	保税区线(大连火车站--保税区)	http://dl.ganji.com/fang5/ditie/l4/	80389
dl	金石滩线(大连火车站--金石滩)	http://dl.ganji.com/fang5/ditie/l3/	82918
dl	九里线(九里--大连火车站)	http://dl.ganji.com/fang5/ditie/l1/	84607
gz	2号线(广州南站--嘉禾望岗)	http://gz.ganji.com/fang5/ditie/l31/	68123
gz	8号线(凤凰新村--万胜围)	http://gz.ganji.com/fang5/ditie/l1519/	51717
gz	1号线(广州东站--西朗)	http://gz.ganji.com/fang5/ditie/l17/	71137
gz	6号线(浔峰岗--长湴)	http://gz.ganji.com/fang5/ditie/l1562/	77844
gz	3号线北延段(机场南--体育西路)	http://gz.ganji.com/fang5/ditie/l586/	58643
gz	4号线(黄村--金洲)	http://gz.ganji.com/fang5/ditie/l604/	27769
gz	3号线(天河客运站--番禺广场)	http://gz.ganji.com/fang5/ditie/l573/	112496
gz	5号线(滘口--文冲)	http://gz.ganji.com/fang5/ditie/l1215/	104113
gz	APM线(林和西--广州塔)	http://gz.ganji.com/fang5/ditie/l1561/	47677
gz	广佛地铁(魁奇路--西朗)	http://gz.ganji.com/fang5/ditie/l1558/	2571
sz	蛇口线(赤湾--新秀)	http://sz.ganji.com/fang5/ditie/l635/	192014
nj	1号线(迈皋桥--奥体中心)	http://nj.ganji.com/fang5/ditie/l74/	134120
nj	2号线(油坊桥--经天路)	http://nj.ganji.com/fang5/ditie/l540/	166633
nj	1号线南延线(迈皋桥--中国药科大学站)	http://nj.ganji.com/fang5/ditie/l539/	149087
sy	2号线(三台子--全运路)	http://sy.ganji.com/fang5/ditie/l319/	108594
sh	11号线支线(罗山路--花桥)	http://sh.ganji.com/fang5/ditie/l1528/	189911
sh	3号线(上海南站--江杨北路)	http://sh.ganji.com/fang5/ditie/l476/	196795
sh	10号线支线(新江湾城--航中路)	http://sh.ganji.com/fang5/ditie/l1466/	181317
sh	6号线(港城路--东方体育中心)	http://sh.ganji.com/fang5/ditie/l1230/	120968
sh	1号线(富锦路--莘庄)	http://sh.ganji.com/fang5/ditie/l474/	226130
sh	12号线(天潼路--金海路)	http://sh.ganji.com/fang5/ditie/l1710/	78542
sh	磁悬浮(龙阳路--浦东国际机场)	http://sh.ganji.com/fang5/ditie/l1200/	17049
sh	4号线(宜山路--虹桥路)	http://sh.ganji.com/fang5/ditie/l477/	232852
sh	7号线(花木路--美兰湖)	http://sh.ganji.com/fang5/ditie/l1367/	191757
sh	10号线主线(新江湾城--虹桥火车站)	http://sh.ganji.com/fang5/ditie/l1708/	176558
sh	5号线(莘庄--闵行开发区)	http://sh.ganji.com/fang5/ditie/l1068/	57796
sh	2号线(浦东国际机场--徐泾东)	http://sh.ganji.com/fang5/ditie/l475/	200744
sh	8号线(沈杜公路--市光路)	http://sh.ganji.com/fang5/ditie/l1231/	144976
sh	11号线主线(罗山路--嘉定北)	http://sh.ganji.com/fang5/ditie/l1371/	192316
sh	16号线(罗山路--滴水湖)	http://sh.ganji.com/fang5/ditie/l1714/	32731
sh	13号线一期(金运路--金沙江路)	http://sh.ganji.com/fang5/ditie/l1719/	84095
sy	2号线北延线(三台子--航空航天大学)	http://sy.ganji.com/fang5/ditie/l321/	10338
sy	1号线(十三号街--黎明广场)	http://sy.ganji.com/fang5/ditie/l307/	134412
sz	罗宝线(罗湖--机场东)	http://sz.ganji.com/fang5/ditie/l6/	225770
sz	环中线(黄贝岭--前海湾)	http://sz.ganji.com/fang5/ditie/l1079/	170261
sz	龙岗线(益田--双龙)	http://sz.ganji.com/fang5/ditie/l7/	186690
sz	龙华线(清湖--福田口岸)	http://sz.ganji.com/fang5/ditie/l8/	110927
su	2号线(高铁苏州北--宝带桥南)	http://su.ganji.com/fang5/ditie/l2/	75076
tj	1号线(刘园--双林)	http://tj.ganji.com/fang5/ditie/l327/	173745
su	1号线(木渎--钟南街)	http://su.ganji.com/fang5/ditie/l1/	134671
tj	9号线(天津站--东海路)	http://tj.ganji.com/fang5/ditie/l326/	151471
tj	3号线(南站--小淀)	http://tj.ganji.com/fang5/ditie/l336/	42101
tj	2号线(曹庄--空港经济区)	http://tj.ganji.com/fang5/ditie/l335/	121503
wh	1号线(堤角--东吴大道)	http://wh.ganji.com/fang5/ditie/l1/	22717
wh	4号线(武昌火车站--武汉火车站)	http://wh.ganji.com/fang5/ditie/l4/	80830
wh	2号线(金银潭--光谷广场)	http://wh.ganji.com/fang5/ditie/l2/	47198
xa	2号线(北客站--会展中心)	http://xa.ganji.com/fang5/ditie/l337/	42475
xa	1号线(后卫寨--纺织城)	http://xa.ganji.com/fang5/ditie/l338/	114047
hz	1号线(湘湖--文泽路)	http://hz.ganji.com/fang5/ditie/l1/	156155
hz	1号线支线(客运中心--临平)	http://hz.ganji.com/fang5/ditie/l2/	26379
km	6号线(东部汽车站--机场中心)	http://km.ganji.com/fang5/ditie/l6/	61
