city	NAME
sh	飞洲国际广场
sh	上海实业大厦
sh	静安中华大厦
sh	淮海中华大厦
sh	飞雕国际大厦
sh	晶采世纪大厦
sh	港陆广场
sh	宝华大厦
sh	南证大厦
sh	华闻国际大厦
sh	中融恒瑞国际大厦
sh	绿地・公园广场
sh	汇智大厦
sh	均瑶国际广场
sh	华能联合大厦
sh	证大立方大厦
sh	盛高国际大厦
sh	国盛中心
sh	旺角广场
sh	华敏翰尊国际
sh	钱江大厦
sh	永升大厦
sh	海通证券大厦
sh	海森国际大厦
sh	峻岭广场
sh	太平金融大厦
sh	海泰国际大厦
sh	金鹰大厦
sh	环球金融中心
sh	绿地蓝海
sh	SOHO中山广场
sh	招商局大厦
sh	中信广场
sh	同达创业大厦
sh	远东国际广场
sh	凯迪克大厦
sh	金天地国际大厦
sh	中城国际商务广场
sh	世界广场
sh	绿洲中环中心
sh	证大源深金融大厦
sh	圣爱广场
sh	长泰企业天地广场
sh	财富兴园
sh	科技京城大厦
sh	未来资产大厦
sh	光大会展中心
sh	财富108广场
sh	中融碧玉蓝天
sh	旭辉世纪广场
sh	宝安大厦
sh	华宁国际广场
sh	东方世纪大厦
sh	兆丰环球大厦
sh	远东大厦
sh	嘉汇国际广场
sh	胜康廖氏大厦
sh	建邦大厦
sh	光启城
sh	新上海国际大厦
sh	斯米克大厦
sh	虹桥银城大厦
sh	生命人寿大厦
sh	21世纪中心大厦
sh	国家开发银行大厦
sh	坤阳国际商务广场
sh	明泉・财富108广场
sh	丽晶阳光大厦
sh	大众金融大厦
sh	仲盛金融中心
sh	双鸽大厦
sh	香港广场
sh	华夏银行大厦
sh	静安创展中心
sh	禹洲金桥国际
sh	财富时代大厦
sh	上海银行大厦
sh	汤臣金融大厦
sh	良丰大厦
sh	港泰广场
sh	东方国际科技大厦
sh	上海保利广场
sh	新上海城市广场
sh	新天国际大厦
sh	明申中心大厦
sh	金茂大厦
sh	由由世纪广场
sh	花旗集团大厦
sh	首信银都国际广场
sh	海上海LOFT
sh	科恩国际中心
sh	新虹桥中心大厦
sh	乐凯大厦
sh	之俊大厦
sh	上海证券大厦
sh	恒积大厦
sh	华融大厦
sh	环球世界大厦
sh	沙田大厦
sh	东方希望大厦
sh	嘉兴大厦
sh	共和国际商务广场
sh	宏嘉大厦
sh	浦发财富广场
sh	东方海港国际大厦
sh	徐汇商务大厦
sh	中达广场
sh	建汇大厦
sh	汇银广场
sh	绿地汇创国际广场
sh	绿地海外滩中心A幢
sh	中融恒瑞大厦
sh	中国船舶大厦
sh	环线广场
sh	东方海外大厦
sh	东方环球企业中心
sh	英雄大厦
sh	宏汇国际广场
sh	智慧广场
sh	鑫达大厦
sh	绿地威科国际商业广场
sh	致远大厦
sh	宝石园大厦
sh	汇鑫国际大厦
sh	现代交通商务大厦
sh	良友大厦
sh	长泰企业天地
sh	葛洲坝大厦
sh	宝矿国际大厦
sh	飞洲时代大厦
sh	华宜大厦
sh	徐汇晶典大厦
sh	SOHO东海广场
sh	上海招商局大厦
sh	巨洋大厦
sh	新漕河泾国际商务中心
sh	震旦国际大厦
sh	申银发展大厦
sh	上海广场
sh	誉虹商务园区
sh	世界贸易大厦
sh	恒利国际大厦
sh	同盛大厦
sh	华都大厦
sh	中融国际商城
sh	天安中心
sh	绿地海外滩中心B幢
sh	中环滨江大厦
sh	东方大厦
sh	华敏翰尊国际广场
sh	梅陇镇新都会
sh	中山万博广场
sh	永华大厦
sh	绿地和创大厦
sh	百丽国际广场
sh	绿地蓝海科技岛
sh	金玉兰广场
sh	裕安大厦
sh	嘉里不夜城
sh	绿地商务大厦
sh	海湾大厦
sh	新富港中心
sh	国浩长风城
sh	白金湾广场
sh	华盛大厦
sh	科技京城
sh	联创国际
sh	金沙商务广场
sh	浦江智谷商务园
sh	耀江国际广场
sh	太湖世家国际大厦
sh	富绅国际
sh	漕河泾园区浦江高科技园
sh	海兴大厦
sh	虹桥上海城
sh	华普科技大厦
sh	1788国际广场
sh	天安中心大厦
sh	悦达国际大厦
sh	丽都新贵
sh	众城大厦
sh	由由国际广场
sh	日月光中心
sh	国金中心
sh	裕景国际大厦
sh	华鼎大厦
sh	中一国际商务大厦
sh	中欣大厦
sh	静安新时代大厦
sh	陆家嘴基金大厦
sh	世和商务中心
sh	金赢108国际公馆
sh	华润时代广场
sh	远东国际广场B栋
sh	银东大厦
sh	都市总部大楼
sh	总部1号
sh	会德丰国际广场
sh	红星世贸大厦
sh	之俊大厦主楼
sh	景鸿大厦
sh	上海主角
sh	世和中心
sh	海泰时代大厦
sh	内外联大厦
sh	力宝广场
sh	隆宇大厦
sh	云都虹桥大厦
sh	港汇广场
sh	新城市中心广场
sh	长城大厦
sh	绿地科创大厦
sh	舜元企业发展大厦
sh	莲花国际商务广场
sh	金鹰大厦
sh	物资大厦
sh	SVA越界
sh	浦发广场
sh	元茂金豪大厦
sh	中金国际广场
sh	绿地海外滩中心C幢
sh	万泰国际大厦
sh	安基大厦
sh	华京商务大厦
sh	绿地汇创国际大厦
sh	中银大厦
sh	时代金融中心
sh	北岸长风
sh	绿地同创大厦
sh	华旭国际大厦
sh	新梅联合广场
sh	腾飞大厦
sh	一百杉杉大厦
sh	张江集电港
sh	外滩中心
sh	五角场万达广场
sh	东渡国际大厦
sh	汤臣中心
sh	海洋大厦
sh	亚洲大厦
sh	金航大厦
sh	大上海时代广场
sh	中鑫企业广场
sh	我格广场
