domain	short_name
sjz.ganji.com	石家庄
tangshan.ganji.com	唐山
qinhuangdao.ganji.com	秦皇岛
handan.ganji.com	邯郸
xingtai.ganji.com	邢台
baoding.ganji.com	保定
zhangjiakou.ganji.com	张家口
chengde.ganji.com	承德
cangzhou.ganji.com	沧州
langfang.ganji.com	廊坊
hengshui.ganji.com	衡水
bj.ganji.com	北京
sh.ganji.com	上海
tj.ganji.com	天津
cq.ganji.com	重庆
gz.ganji.com	广州
sz.ganji.com	深圳
zhuhai.ganji.com	珠海
shantou.ganji.com	汕头
foshan.ganji.com	佛山
jiangmen.ganji.com	江门
maoming.ganji.com	茂名
huizhou.ganji.com	惠州
dg.ganji.com	东莞
zhongshan.ganji.com	中山
hz.ganji.com	杭州
nb.ganji.com	宁波
wenzhou.ganji.com	温州
jiaxing.ganji.com	嘉兴
huzhou.ganji.com	湖州
shaoxing.ganji.com	绍兴
jinhua.ganji.com	金华
quzhou.ganji.com	衢州
zhoushan.ganji.com	舟山
zjtaizhou.ganji.com	台州
gy.ganji.com	贵阳
liupanshui.ganji.com	六盘水
zunyi.ganji.com	遵义
anshun.ganji.com	安顺
tongren.ganji.com	铜仁
bijie.ganji.com	毕节
qianxinan.ganji.com	黔西南
qiandongnan.ganji.com	黔东南
qiannan.ganji.com	黔南
cd.ganji.com	成都
zigong.ganji.com	自贡
luzhou.ganji.com	泸州
deyang.ganji.com	德阳
mianyang.ganji.com	绵阳
leshan.ganji.com	乐山
nanchong.ganji.com	南充
yibin.ganji.com	宜宾
dazhou.ganji.com	达州
liangshan.ganji.com	凉山
sy.ganji.com	沈阳
dl.ganji.com	大连
anshan.ganji.com	鞍山
fushun.ganji.com	抚顺
dandong.ganji.com	丹东
jinzhou.ganji.com	锦州
yingkou.ganji.com	营口
liaoyang.ganji.com	辽阳
panjin.ganji.com	盘锦
huludao.ganji.com	葫芦岛
nj.ganji.com	南京
wx.ganji.com	无锡
su.ganji.com	苏州
xuzhou.ganji.com	徐州
changzhou.ganji.com	常州
nantong.ganji.com	南通
lianyungang.ganji.com	连云港
huaian.ganji.com	淮安
yancheng.ganji.com	盐城
yangzhou.ganji.com	扬州
fz.ganji.com	福州
xm.ganji.com	厦门
putian.ganji.com	莆田
sanming.ganji.com	三明
quanzhou.ganji.com	泉州
zhangzhou.ganji.com	漳州
nanping.ganji.com	南平
