驻马店	258	1567	6.06	1114	121	8	6	235	81	0	0
锦州	362	2628	7.25	1218	246	7	5	570	474	0	106
石嘴山	64	391	6.11	211	46	0	0	114	19	0	0
呼伦贝尔	238	1471	6.17	1069	125	4	0	273	0	0	0
九江	362	2556	7.06	1349	217	18	12	268	689	0	0
辽阳	169	1192	7.04	667	101	2	0	139	283	0	0
三门峡	173	1151	6.63	927	107	5	0	111	0	0	0
阜新	184	1179	6.4	593	188	0	0	396	1	0	0
鸡西	105	627	5.97	474	40	0	0	113	0	0	0
深圳	15848	154067	9.72	72383	8089	905	597	20422	38906	34	12727
渭南	201	1249	6.2	784	69	0	0	86	253	0	54
柳州	776	6123	7.88	3082	731	3	5	1225	762	0	313
广州	9858	90913	9.22	29717	6913	493	675	15103	27872	131	10005
平凉	72	418	5.74	319	26	0	0	73	0	0	0
雅安	77	467	6.06	315	61	0	0	90	0	0	0
昭通	53	318	6.01	148	39	1	0	51	55	0	23
大理	183	1149	6.26	519	93	10	0	169	264	0	91
营口	295	2241	7.57	1147	164	3	0	800	125	0	0
湛江	256	1679	6.53	699	228	71	18	434	227	0	0
邯郸	814	5884	7.22	3025	360	13	12	607	1550	0	315
吉安	252	1637	6.49	976	150	1	0	317	191	0	0
呼和浩特	1211	9589	7.91	5022	466	28	8	1748	1835	0	478
新乡	413	2885	6.97	1666	252	4	0	404	481	0	76
白城	121	778	6.38	665	48	0	0	64	0	0	0
玉林	195	1344	6.86	812	158	4	2	255	109	0	0
吕梁	103	508	4.92	371	51	0	0	84	0	0	0
四平	202	1420	7.02	828	160	0	0	402	28	0	0
天门	28	145	5.19	115	12	0	0	16	0	0	0
湖州	405	2303	5.68	1362	382	11	0	390	156	0	0
盐城	525	3759	7.15	2128	242	28	1	482	690	0	184
山南	2	12	4.04	9	0	0	0	2	0	0	0
安顺	90	572	6.34	404	52	1	1	112	0	0	0
鄂州	65	374	5.67	209	56	0	0	88	19	0	0
滁州	292	2220	7.59	1033	201	1	12	366	496	0	108
天津	6144	50161	8.16	21086	3618	96	68	6169	15014	10	4096
东营	637	4211	6.6	2535	327	9	1	697	479	0	160
武威	63	401	6.3	288	21	0	0	22	68	0	0
文山	72	435	5.98	230	53	1	0	66	60	0	24
盘锦	178	1229	6.87	796	78	5	0	250	98	0	0
益阳	153	956	6.23	684	79	6	0	120	65	0	0
漯河	288	1650	5.72	1021	186	1	0	268	148	0	24
衡阳	338	2571	7.59	1532	243	4	0	450	326	0	13
黔南	111	622	5.57	408	37	0	0	89	86	0	0
日喀则	5	19	3.51	13	2	0	0	3	0	0	0
阳江	109	636	5.81	293	81	0	0	88	151	0	19
阿克苏	187	1194	6.37	703	77	31	4	268	103	3	0
濮阳	310	2063	6.63	1112	236	6	0	381	283	0	43
塔城	32	192	5.95	153	20	0	0	18	0	0	0
朝阳市	194	1301	6.7	643	97	0	0	461	97	0	0
洛阳	1059	9254	8.73	4497	476	8	29	990	2633	1	617
红河	108	587	5.4	363	68	0	0	134	13	0	6
儋州	33	138	4.16	63	15	0	10	8	37	0	3
南京	6217	53297	8.57	29739	1671	297	144	4252	11608	29	5553
齐齐哈尔	277	1920	6.9	1250	105	4	8	269	281	0	0
伊春	41	189	4.52	156	17	0	0	16	0	0	0
安康	88	541	6.1	214	53	0	0	65	177	0	29
六盘水	103	656	6.32	381	59	7	0	158	50	0	0
和田	21	124	5.87	90	10	0	0	24	0	0	0
内江	171	1218	7.1	544	185	0	0	238	170	0	77
鹤壁	166	1086	6.54	721	48	0	0	108	207	0	0
六安	359	2546	7.08	1364	258	5	2	469	336	0	109
