城市	区域名称	房源数	url
北京	海淀	57659	http://bj.ganji.com/fang1/haidian/
北京	朝阳	116326	http://bj.ganji.com/fang1/chaoyang/
北京	东城	39032	http://bj.ganji.com/fang1/dongcheng/
北京	西城	49390	http://bj.ganji.com/fang1/xicheng/
北京	崇文	21403	http://bj.ganji.com/fang1/chongwen/
北京	宣武	14618	http://bj.ganji.com/fang1/xuanwu/
北京	丰台	122905	http://bj.ganji.com/fang1/fengtai/
北京	石景山	10336	http://bj.ganji.com/fang1/shijingshan/
北京	房山	8344	http://bj.ganji.com/fang1/fangshan/
北京	大兴	17327	http://bj.ganji.com/fang1/daxing/
北京	通州	58870	http://bj.ganji.com/fang1/tongzhou/
北京	顺义	10965	http://bj.ganji.com/fang1/shunyi/
北京	昌平	106208	http://bj.ganji.com/fang1/changping/
北京	密云	6697	http://bj.ganji.com/fang1/miyun/
北京	怀柔	1492	http://bj.ganji.com/fang1/huairou/
北京	延庆	656	http://bj.ganji.com/fang1/yanqing/
北京	平谷	1676	http://bj.ganji.com/fang1/pinggu/
北京	门头沟	5057	http://bj.ganji.com/fang1/mentougou/
上海	黄浦	7564	http://sh.ganji.com/fang1/huangpu/
上海	卢湾	3843	http://sh.ganji.com/fang1/luwan/
上海	徐汇	36071	http://sh.ganji.com/fang1/xuhui/
上海	长宁	15735	http://sh.ganji.com/fang1/changning/
上海	静安	5865	http://sh.ganji.com/fang1/jingan/
上海	普陀	28132	http://sh.ganji.com/fang1/putuo/
上海	闸北	16435	http://sh.ganji.com/fang1/zhabei/
上海	虹口	7268	http://sh.ganji.com/fang1/hongkou/
上海	杨浦	9811	http://sh.ganji.com/fang1/yangpu/
上海	闵行	64374	http://sh.ganji.com/fang1/minhang/
上海	宝山	21374	http://sh.ganji.com/fang1/baoshan/
上海	嘉定	18899	http://sh.ganji.com/fang1/jiading/
上海	浦东	80578	http://sh.ganji.com/fang1/pudongxinqu/
上海	金山	4244	http://sh.ganji.com/fang1/jinshan/
上海	松江	22276	http://sh.ganji.com/fang1/songjiang/
上海	青浦	7891	http://sh.ganji.com/fang1/qingpu/
上海	南汇	11593	http://sh.ganji.com/fang1/nanhui/
上海	奉贤	8386	http://sh.ganji.com/fang1/fengxian/
上海	崇明	194	http://sh.ganji.com/fang1/chongming/
上海	上海周边	489	http://sh.ganji.com/fang1/shanghaizhoubian/
临沧县	临翔	3187	http://lincang.ganji.com/fang1/linxiang/
临沧县	凤庆	13	http://lincang.ganji.com/fang1/fengqing/
临沧县	云县	18	http://lincang.ganji.com/fang1/yunxian/
丽江	古城	14378	http://lijiang.ganji.com/fang1/gucheng/
丽江	玉龙	71	http://lijiang.ganji.com/fang1/yulong/
保山	隆阳	133	http://baoshan.ganji.com/fang1/longyang/
保山	腾冲	112	http://baoshan.ganji.com/fang1/tengchong/
大理	大理市	17775	http://dali.ganji.com/fang1/dali/
大理	祥云	29	http://dali.ganji.com/fang1/xiangyun/
德宏德宏傣族景颇族自治州	潞西	147	http://dehong.ganji.com/fang1/luxi/
