date	cat	city	pv
4-1	租赁	北京	187257
4-2	租赁	北京	195704
4-3	租赁	北京	197154
4-4	租赁	北京	179036
4-5	租赁	北京	159888
4-6	租赁	北京	155872
4-7	租赁	北京	173088
4-8	租赁	北京	204975
4-9	租赁	北京	201025
4-10	租赁	北京	191707
4-11	租赁	北京	201837
4-12	租赁	北京	167535
4-13	租赁	北京	166252
4-14	租赁	北京	189024
4-15	租赁	北京	181419
4-16	租赁	北京	180270
4-17	租赁	北京	181580
4-18	租赁	北京	174439
4-19	租赁	北京	165110
4-20	租赁	北京	154967
4-21	租赁	北京	178992
4-22	租赁	北京	175817
4-23	租赁	北京	172173
4-24	租赁	北京	177301
4-25	租赁	北京	170328
4-26	租赁	北京	156435
4-27	租赁	北京	150606
4-28	租赁	北京	171705
4-29	租赁	北京	159850
4-30	租赁	北京	144815
5-1	租赁	北京	120394
5-2	租赁	北京	119916
5-3	租赁	北京	142339
5-4	租赁	北京	195819
5-5	租赁	北京	181186
5-6	租赁	北京	180153
5-7	租赁	北京	181910
5-8	租赁	北京	175303
5-9	租赁	北京	178411
5-10	租赁	北京	167558
5-11	租赁	北京	163788
5-12	租赁	北京	188245
5-13	租赁	北京	179147
5-14	租赁	北京	175700
5-15	租赁	北京	175018
5-16	租赁	北京	171318
5-17	租赁	北京	159947
5-18	租赁	北京	160753
5-19	租赁	北京	191175
5-20	租赁	北京	178732
5-21	租赁	北京	182153
5-22	租赁	北京	184485
5-23	租赁	北京	176544
5-24	租赁	北京	173468
5-25	租赁	北京	165470
5-26	租赁	北京	175493
5-27	租赁	北京	183471
5-28	租赁	北京	168976
5-29	租赁	北京	168256
5-30	租赁	北京	151927
5-31	租赁	北京	136698
6-1	租赁	北京	132061
6-2	租赁	北京	132537
6-3	租赁	北京	186571
6-4	租赁	北京	183270
6-5	租赁	北京	189757
6-6	租赁	北京	190791
6-7	租赁	北京	176732
6-8	租赁	北京	179177
6-9	租赁	北京	196329
6-10	租赁	北京	200202
6-11	租赁	北京	198810
6-12	租赁	北京	194569
6-13	租赁	北京	193840
6-14	租赁	北京	182043
6-15	租赁	北京	180423
6-16	租赁	北京	210174
6-17	租赁	北京	196655
6-18	租赁	北京	189124
6-19	租赁	北京	195295
6-20	租赁	北京	188249
6-21	租赁	北京	186124
6-22	租赁	北京	181223
6-23	租赁	北京	203220
6-24	租赁	北京	198902
6-25	租赁	北京	195634
6-26	租赁	北京	193570
6-27	租赁	北京	183720
6-28	租赁	北京	176146
6-29	租赁	北京	171875
6-30	租赁	北京	198093
4-1	租赁	广州	45177
4-2	租赁	广州	45856
4-3	租赁	广州	44239
4-4	租赁	广州	38511
4-5	租赁	广州	34661
4-6	租赁	广州	39754
4-7	租赁	广州	47250
4-8	租赁	广州	51728
4-9	租赁	广州	49386
4-10	租赁	广州	46343
4-11	租赁	广州	45293
4-12	租赁	广州	42281
4-13	租赁	广州	42345
4-14	租赁	广州	47470
4-15	租赁	广州	43964
4-16	租赁	广州	45391
4-17	租赁	广州	45418
4-18	租赁	广州	42904
4-19	租赁	广州	44166
4-20	租赁	广州	43539
4-21	租赁	广州	48483
4-22	租赁	广州	46114
4-23	租赁	广州	45808
4-24	租赁	广州	46359
4-25	租赁	广州	43668
4-26	租赁	广州	44524
4-27	租赁	广州	43088
4-28	租赁	广州	44792
4-29	租赁	广州	44331
4-30	租赁	广州	38560
5-1	租赁	广州	32091
5-2	租赁	广州	34659
5-3	租赁	广州	39798
5-4	租赁	广州	51524
5-5	租赁	广州	48439
5-6	租赁	广州	45321
5-7	租赁	广州	45954
5-8	租赁	广州	43863
5-9	租赁	广州	44313
5-10	租赁	广州	47880
5-11	租赁	广州	51462
5-12	租赁	广州	56784
5-13	租赁	广州	55156
5-14	租赁	广州	53926
5-15	租赁	广州	55185
5-16	租赁	广州	52204
5-17	租赁	广州	54858
5-18	租赁	广州	52833
5-19	租赁	广州	54675
5-20	租赁	广州	50859
5-21	租赁	广州	54311
5-22	租赁	广州	53836
5-23	租赁	广州	51030
5-24	租赁	广州	56704
5-25	租赁	广州	56048
5-26	租赁	广州	58436
5-27	租赁	广州	58426
5-28	租赁	广州	55904
5-29	租赁	广州	54250
5-30	租赁	广州	45147
5-31	租赁	广州	44093
6-1	租赁	广州	44699
6-2	租赁	广州	42517
6-3	租赁	广州	58098
6-4	租赁	广州	60620
6-5	租赁	广州	62844
6-6	租赁	广州	59898
6-7	租赁	广州	64788
6-8	租赁	广州	62512
6-9	租赁	广州	59867
6-10	租赁	广州	62384
6-11	租赁	广州	61416
6-12	租赁	广州	59647
6-13	租赁	广州	56973
6-14	租赁	广州	59425
6-15	租赁	广州	61467
6-16	租赁	广州	71615
6-17	租赁	广州	67443
6-18	租赁	广州	63370
6-19	租赁	广州	65853
6-20	租赁	广州	62248
6-21	租赁	广州	67233
6-22	租赁	广州	66853
6-23	租赁	广州	67666
6-24	租赁	广州	65667
6-25	租赁	广州	63842
6-26	租赁	广州	64007
6-27	租赁	广州	59377
6-28	租赁	广州	57795
6-29	租赁	广州	56793
6-30	租赁	广州	61027
4-1	租赁	上海	136596
4-2	租赁	上海	138556
4-3	租赁	上海	132665
4-4	租赁	上海	125896
4-5	租赁	上海	118246
4-6	租赁	上海	116121
4-7	租赁	上海	130681
4-8	租赁	上海	144846
4-9	租赁	上海	145838
4-10	租赁	上海	142673
4-11	租赁	上海	149381
4-12	租赁	上海	152116
4-13	租赁	上海	143490
4-14	租赁	上海	142890
4-15	租赁	上海	134855
4-16	租赁	上海	145746
4-17	租赁	上海	147507
4-18	租赁	上海	148888
4-19	租赁	上海	151079
4-20	租赁	上海	136613
4-21	租赁	上海	148315
4-22	租赁	上海	139783
4-23	租赁	上海	136168
4-24	租赁	上海	140197
4-25	租赁	上海	137289
4-26	租赁	上海	143778
4-27	租赁	上海	139672
4-28	租赁	上海	142836
4-29	租赁	上海	128292
4-30	租赁	上海	116401
5-1	租赁	上海	101961
5-2	租赁	上海	106097
5-3	租赁	上海	121855
5-4	租赁	上海	159802
5-5	租赁	上海	150677
5-6	租赁	上海	147990
5-7	租赁	上海	145039
5-8	租赁	上海	152118
5-9	租赁	上海	149573
5-10	租赁	上海	163011
5-11	租赁	上海	155136
5-12	租赁	上海	166487
5-13	租赁	上海	159591
5-14	租赁	上海	150957
5-15	租赁	上海	149543
5-16	租赁	上海	149831
5-17	租赁	上海	161176
5-18	租赁	上海	148316
5-19	租赁	上海	153801
5-20	租赁	上海	142394
5-21	租赁	上海	147042
5-22	租赁	上海	149578
5-23	租赁	上海	144545
5-24	租赁	上海	149346
5-25	租赁	上海	148673
5-26	租赁	上海	150055
5-27	租赁	上海	151002
5-28	租赁	上海	147610
5-29	租赁	上海	142716
5-30	租赁	上海	134468
5-31	租赁	上海	130052
6-1	租赁	上海	121838
6-2	租赁	上海	117065
6-3	租赁	上海	152365
6-4	租赁	上海	155762
6-5	租赁	上海	154515
6-6	租赁	上海	154243
6-7	租赁	上海	165608
6-8	租赁	上海	155882
6-9	租赁	上海	153957
6-10	租赁	上海	158427
6-11	租赁	上海	158690
6-12	租赁	上海	160622
6-13	租赁	上海	153808
6-14	租赁	上海	159683
6-15	租赁	上海	153506
6-16	租赁	上海	165692
6-17	租赁	上海	158256
6-18	租赁	上海	152677
6-19	租赁	上海	153775
6-20	租赁	上海	151442
6-21	租赁	上海	165841
6-22	租赁	上海	157882
6-23	租赁	上海	159252
6-24	租赁	上海	156214
6-25	租赁	上海	155475
6-26	租赁	上海	151494
6-27	租赁	上海	149810
6-28	租赁	上海	157302
6-29	租赁	上海	146616
6-30	租赁	上海	146770
4-1	租赁	深圳	53066
4-2	租赁	深圳	56508
4-3	租赁	深圳	55807
4-4	租赁	深圳	50985
4-5	租赁	深圳	45488
4-6	租赁	深圳	50018
4-7	租赁	深圳	58574
