城市	公司	端口类型	竞品网站	自已端口	竞品端口
重庆	帮华	二手房	58	2	3
青岛	中亚达	二手房	58	1	1
烟台	元盛	二手房	58	42	205
成都	驿居	二手房	58	1	1
天津	世博	二手房	58	8	3
重庆	源首	二手房	58	1	3
昆明	中磐	二手房	58	6	2
淄博	独立经纪人	二手房	58	548	30
长沙	华楷	二手房	58	1	1
重庆	翔旭	二手房	58	2	1
南宁	富泽	二手房	58	6	18
大连	大田不动产	二手房	58	34	41
苏州	豪仕	二手房	58	1	1
武汉	中中	二手房	58	1	1
福州	福建泛联	二手房	58	113	27
郑州	睿桥营销策划	二手房	58	9	1
青岛	二十二世纪不动产代理	二手房	58	21	16
杭州	都市房网代理	二手房	58	7	6
太原	同顺	二手房	58	1	5
厦门	全部	二手房	58	993	1805
郑州	河南建宇房营销策划	二手房	58	5	8
天津	靖泰置居	二手房	58	3	5
成都	万兴	二手房	58	1	8
昆明	珲皇	二手房	58	1	5
成都	邦达	二手房	58	1	1
郑州	天地行房营销策划	二手房	58	2	22
昆明	润秋	二手房	58	4	9
西安	独立经纪人	二手房	58	390	67
成都	金信美居	二手房	58	1	1
昆明	云南腾际	二手房	58	1	3
武汉	华明达	二手房	58	1	61
太原	我爱我家	二手房	58	43	91
青岛	太平洋房屋	二手房	58	103	9
天津	西青区龙居花园房屋信息咨询服务中心	二手房	58	1	1
淄博	锡恩房投资咨询	二手房	58	28	1
大连	亿豪房屋	二手房	58	1	3
苏州	置雅居	二手房	58	2	20
长沙	昌恒	二手房	58	6	38
长春	正邦房代理	二手房	58	2	5
东莞	联城房中介	二手房	58	1	1
天津	馨诺居	二手房	58	2	1
成都	四川尚城	二手房	58	2	6
大连	春雨	二手房	58	18	19
东莞	东冠房中介	二手房	58	4	2
福州	蜗牛房经纪服务	二手房	58	1	9
烟台	雷诺房信息咨询	二手房	58	1	1
大连	独立经纪人	二手房	58	184	75
成都	泉馨	二手房	58	4	5
成都	都江堰市荣家房屋中介所	二手房	58	2	2
天津	佳田	二手房	58	1	4
