城市	公司名称	端口类型	竞品	ganji端口数	58端口数
成都	满堂红	mz	58	377	293
太原	易佳	mz	58	134	208
乌鲁木齐	浩鸿	mz	58	120	296
太原	我爱我家	mz	58	210	445
石家庄	壹加贰	mz	58	156	182
宁波	甬旺	mz	58	102	294
南京	利众	mz	58	244	279
大连	瑞家装饰	mz	58	384	1144
武汉	浙联	mz	58	9	1
杭州	我爱我家	mz	58	1008	1937
天津	链家宝业	mz	58	727	1153
厦门	置强	mz	58	9	103
宁波	21世纪	mz	58	41	19
郑州	21世纪	mz	58	339	4
南京	中广置业	mz	58	61	203
福州	麦田	mz	58	251	1133
石家庄	国大	mz	58	988	668
上海	21世纪	mz	58	66	1
兰州	欣东升	mz	58	5	0
兰州	同城乐居	mz	58	7	0
成都	伊诚	mz	58	1213	2
长春	协力	mz	58	37	162
西安	海汇	mz	58	290	73
深圳	家家顺	mz	58	2375	3732
哈尔滨	金阁	mz	58	2	33
北京	我爱我家	mz	58	2396	4701
长沙	湖南中环	mz	58	79	563
大连	链家	mz	58	19	810
合肥	辉达	mz	58	88	330
合肥	零五五一	mz	58	157	311
长沙	我爱我家	mz	58	15	169
西安	科威国际	mz	58	82	0
杭州	盛世管家	mz	58	308	553
烟台	筑家	mz	58	18	63
兰州	玛雅	mz	58	308	607
哈尔滨	家园	mz	58	13	75
兰州	巨信	mz	58	53	272
哈尔滨	大盛	mz	58	998	773
武汉	顺驰	mz	58	102	196
重庆	美联	mz	58	157	319
南京	居巢	mz	58	39	1
厦门	丹厦	mz	58	293	312
武汉	百居易	mz	58	93	295
济南	玛雅	mz	58	108	31
武汉	中联	mz	58	447	1067
大连	好旺角	mz	58	378	126
沈阳	芒果	mz	58	3189	1854
沈阳	瑞家	mz	58	581	309
天津	中原	mz	58	195	701
乌鲁木齐	博邦	mz	58	57	31
昆明	新亚	mz	58	37	1805
石家庄	正大	mz	58	287	630
南京	顺驰	mz	58	8	81
昆明	荣城	mz	58	253	838
合肥	众邦	mz	58	70	87
长沙	嘉业	mz	58	2	86
无锡	优房	mz	58	98	163
武汉	21世纪	mz	58	426	651
武汉	壹加贰	mz	58	19	8
青岛	惠百家	mz	58	172	2
兰州	宏辉	mz	58	185	314
哈尔滨	春晖	mz	58	65	260
乌鲁木齐	鸿联伟业	mz	58	79	54
成都	链家	mz	58	1	2763
北京	链家	mz	58	4941	8322
厦门	麦田	mz	58	88	269
青岛	太平洋	mz	58	145	70
广州	满堂红	mz	58	92	452
深圳	中原	mz	58	193	832
长春	新发	mz	58	13	285
福州	金海岸	mz	58	253	234
苏州	我爱我家	mz	58	206	398
哈尔滨	骄阳	mz	58	620	1242
天津	我爱我家	mz	58	744	691
银川	佳运	mz	58	47	35
无锡	中山	mz	58	12	384
哈尔滨	世联	mz	58	140	124
昆明	尊园	mz	58	139	37
重庆	钢运	mz	58	98	281
东莞	家家顺	mz	58	191	119
无锡	顺驰	mz	58	71	352
乌鲁木齐	21世纪	mz	58	1	62
常州	万科	mz	58	37	117
广州	中原	mz	58	37	425
上海	德佑	mz	58	695	511
青岛	科威	mz	58	215	501
保定	华中	mz	58	23	256
合肥	吉大	mz	58	201	293
重庆	大泽	mz	58	233	499
南宁	恒创	mz	58	284	255
郑州	世家	mz	58	205	0
青岛	链家	mz	58	418	243
淄博	锡恩	mz	58	2	25
烟台	玛雅	mz	58	32	39
银川	麦吉屋	mz	58	10	113
西安	玛雅	mz	58	259	130
宁波	南天	mz	58	119	146
太原	龙城居业	mz	58	62	187
郑州	思德良行	mz	58	109	0
杭州	华邦	mz	58	291	444
常州	鑫洋	mz	58	2	73
武汉	新环境	mz	58	21	179
福州	家天下	mz	58	161	271
哈尔滨	和美家	mz	58	95	365
苏州	理想家园	mz	58	7	36
南宁	江山	mz	58	578	195
烟台	正大	mz	58	36	45
长沙	新环境	mz	58	1439	5888
上海	中原	mz	58	169	993
青岛	21世纪	mz	58	242	28
西宁	尚嘉	mz	58	5	54
福州	双安	mz	58	14	25
长沙	中联	mz	58	21	215
重庆	大业兴	mz	58	64	766
济南	齐鲁楼	mz	58	197	279
乌鲁木齐	联合筑家	mz	58	23	15
乌鲁木齐	玛雅	mz	58	54	284
济南	哈考特	mz	58	65	137
南京	满堂红	mz	58	0	19
哈尔滨	嘉诚	mz	58	0	102
保定	卓正	mz	58	0	31
西宁	省产权	mz	58	0	39
淄博	汇隆	mz	58	0	26
东莞	满堂红	mz	58	0	211
哈尔滨	佰强	mz	58	0	4
南京	链家	mz	58	0	45
苏州	裕房	mz	58	0	50
深圳	满堂红	mz	58	0	1
哈尔滨	好家庭	mz	58	0	369
潍坊	鑫锦盛	mz	58	0	27
乌鲁木齐	家和缘	mz	58	0	137
北京	鑫尊	mz	58	0	133
东莞	中原	mz	58	0	4
苏州	泰山	mz	58	0	39
重庆	伊诚	mz	58	0	359
