Date,Hv10,Hv20,Hv30,Hv60,Hv90,Hv120,Hv150,Hv180,Phv10,Phv20,Phv30,Phv60,Phv90,Phv120,Phv150,Phv180,IvCall10,IvPut10,IvMean10,IvMeanSkew10,IvCall20,IvPut20,IvMean20,IvMeanSkew20,IvCall30,IvPut30,IvMean30,IvMeanSkew30,IvCall60,IvPut60,IvMean60,IvMeanSkew60,IvCall90,IvPut90,IvMean90,IvMeanSkew90,IvCall120,IvPut120,IvMean120,IvMeanSkew120,IvCall150,IvPut150,IvMean150,IvMeanSkew150,IvCall180,IvPut180,IvMean180,IvMeanSkew180,IvCall270,IvPut270,IvMean270,IvMeanSkew270,IvCall360,IvPut360,IvMean360,IvMeanSkew360,IvCall720,IvPut720,IvMean720,IvMeanSkew720,IvCall1080,IvPut1080,IvMean1080,IvMeanSkew1080
2017-06-02,0.1547,0.1956,0.1697,0.1402,0.1231,0.1179,0.122,0.1278,0.1342,0.1411,0.1242,0.1177,0.1134,0.1094,0.1127,0.1168,0.1343,0.1356,0.135,0.0696,0.1375,0.1383,0.1379,0.0226,0.1376,0.1383,0.138,0.0209,0.1761,0.1791,0.1776,0.0393,0.1658,0.178,0.1719,0.0388,0.1682,0.1829,0.1755,0.0322,0.1737,0.1898,0.1818,0.0291,0.1712,0.1923,0.1818,0.0273,0.1739,0.215,0.1945,0.025,0.175,0.2274,0.2012,0.0237,0.1723,0.2406,0.2064,0.0126,0.1723,0.2406,0.2064,0.0126
2017-06-01,0.0978,0.1747,0.1516,0.1296,0.115,0.1123,0.1173,0.124,0.1079,0.1303,0.1166,0.1133,0.1109,0.1073,0.1112,0.1156,0.1272,0.1267,0.127,0.0301,0.1337,0.1332,0.1335,0.0377,0.1388,0.1374,0.1381,0.0256,0.1704,0.1702,0.1703,0.0412,0.1643,0.1714,0.1678,0.0388,0.1726,0.1793,0.176,0.0318,0.184,0.1878,0.1859,0.0279,0.1759,0.1895,0.1827,0.0266,0.1761,0.2184,0.1972,0.026,0.1779,0.2287,0.2033,0.023,0.1766,0.2432,0.2099,0.0064,0.1766,0.2432,0.2099,0.0064
2017-05-31,0.1084,0.1848,0.1515,0.1304,0.115,0.1165,0.1191,0.1269,0.1044,0.1254,0.1127,0.1119,0.1098,0.1076,0.111,0.116,0.1324,0.1322,0.1323,0.0953,0.1404,0.1396,0.14,0.0671,0.1453,0.1441,0.1447,0.0551,0.1776,0.1773,0.1774,0.049,0.1722,0.179,0.1756,0.044,0.1738,0.185,0.1794,0.0356,0.1797,0.1923,0.186,0.0304,0.1766,0.1938,0.1852,0.0285,0.1787,0.2201,0.1994,0.0272,0.1786,0.2304,0.2045,0.024,0.1768,0.2438,0.2103,0.0189,0.1768,0.2438,0.2103,0.0189
2017-05-30,0.0753,0.1803,0.1546,0.1281,0.1178,0.1163,0.1183,0.128,0.0993,0.1231,0.1138,0.1114,0.1099,0.1077,0.1105,0.1163,0.1264,0.1259,0.1262,0.0335,0.1358,0.1357,0.1357,0.0379,0.142,0.1412,0.1416,0.0259,0.1757,0.1773,0.1765,0.0429,0.1702,0.1798,0.175,0.0405,0.1705,0.181,0.1758,0.0356,0.1762,0.1876,0.1819,0.0327,0.174,0.1901,0.182,0.0305,0.1767,0.2158,0.1962,0.0252,0.1762,0.2278,0.202,0.023,0.1749,0.2481,0.2115,0.006,0.1749,0.2481,0.2115,0.006
2017-05-26,0.0761,0.1791,0.1537,0.1277,0.1205,0.1175,0.1183,0.1281,0.1076,0.1229,0.1205,0.1115,0.1108,0.1084,0.1105,0.1167,0.1083,0.1092,0.1088,0.023,0.1284,0.1274,0.1279,0.023,0.1359,0.1337,0.1348,0.0431,0.1746,0.1732,0.1739,0.0388,0.1713,0.1762,0.1738,0.0437,0.173,0.1812,0.1771,0.0341,0.1877,0.1891,0.1884,0.0302,0.1802,0.1916,0.1859,0.0283,0.1797,0.2201,0.1999,0.025,0.1784,0.2292,0.2038,0.0235,0.1774,0.2439,0.2106,0.0062,0.1774,0.2439,0.2106,0.0062
2017-05-25,0.2144,0.1786,0.1542,0.1274,0.1208,0.1236,0.1182,0.128,0.1343,0.1224,0.1212,0.1112,0.1105,0.1091,0.1109,0.1169,0.1148,0.1176,0.1162,0.041,0.1319,0.1327,0.1323,0.041,0.1377,0.138,0.1378,0.0324,0.1759,0.1755,0.1757,0.0439,0.1715,0.1795,0.1755,0.0426,0.1709,0.1846,0.1778,0.0359,0.181,0.1937,0.1874,0.0304,0.177,0.1944,0.1857,0.0282,0.1801,0.2214,0.2008,0.0261,0.1793,0.2307,0.205,0.0242,0.1763,0.2456,0.211,0.0164,0.1763,0.2456,0.211,0.0164
2017-05-24,0.2356,0.1714,0.1494,0.1246,0.1196,0.1229,0.1172,0.127,0.1414,0.1189,0.1196,0.1109,0.1096,0.1093,0.1106,0.1164,0.1182,0.1183,0.1182,0.0542,0.1343,0.1335,0.1339,0.0418,0.1417,0.1431,0.1424,0.0347,0.1797,0.1778,0.1788,0.0444,0.1765,0.1839,0.1802,0.0445,0.1734,0.1898,0.1816,0.037,0.1832,0.1991,0.1911,0.0305,0.18,0.202,0.191,0.0295,0.1824,0.2241,0.2032,0.0263,0.1807,0.2333,0.207,0.0248,0.1797,0.2533,0.2165,0.0109,0.1797,0.2533,0.2165,0.0109
2017-05-23,0.2356,0.1723,0.1503,0.1246,0.1196,0.1229,0.1172,0.1284,0.1477,0.1189,0.1196,0.1123,0.11,0.1096,0.1109,0.1169,0.1228,0.1215,0.1222,0.0751,0.1361,0.1346,0.1354,0.0689,0.1452,0.1437,0.1444,0.0482,0.1807,0.1786,0.1796,0.0481,0.1773,0.1835,0.1804,0.0438,0.1747,0.19,0.1824,0.0371,0.1845,0.1996,0.192,0.0317,0.1818,0.2038,0.1928,0.0298,0.1837,0.2246,0.2042,0.0267,0.1815,0.2243,0.2029,0.0237,0.1799,0.253,0.2164,0.0239,0.1799,0.253,0.2164,0.0239
2017-05-22,0.2356,0.172,0.1599,0.1245,0.1197,0.1236,0.1171,0.1284,0.1494,0.1207,0.1203,0.1131,0.1103,0.1103,0.1112,0.117,0.1265,0.125,0.1258,0.0691,0.137,0.1351,0.136,0.0657,0.1464,0.1451,0.1458,0.0551,0.1829,0.1796,0.1813,0.054,0.1803,0.1858,0.183,0.0472,0.1756,0.1903,0.183,0.0394,0.1849,0.1942,0.1896,0.0312,0.1822,0.2025,0.1924,0.0306,0.1977,0.219,0.2084,0.0259,0.1988,0.2251,0.212,0.023,0.1936,0.2511,0.2224,0.0241,0.1936,0.2511,0.2224,0.0241
2017-05-19,0.2343,0.1636,0.162,0.1224,0.1181,0.1224,0.116,0.128,0.1434,0.1167,0.1229,0.1115,0.109,0.1096,0.1109,0.1166,0.138,0.1377,0.1378,0.0896,0.1459,0.1464,0.1462,0.0674,0.1539,0.154,0.154,0.0543,0.1854,0.1827,0.184,0.0509,0.1823,0.1916,0.187,0.0455,0.1766,0.1874,0.182,0.0397,0.1868,0.197,0.1919,0.0342,0.1853,0.1997,0.1925,0.0314,0.1858,0.2244,0.2051,0.0272,0.1825,0.233,0.2078,0.0236,0.1788,0.2506,0.2147,0.0195,0.1788,0.2506,0.2147,0.0195
