,city_name,area,id_x,id_y,fee
0,上海,0,920.0,5257,5915760.12
1,上海,1,408.0,3642,6161539.23
2,上海,2,172.0,1737,4346952.47
3,上海,3,101.0,1144,4551030.21
4,上海,4,28.0,415,1511103.66
5,上海,5,45.0,518,2491236.91
6,上海,6,17.0,192,1407143.87
7,上海,7,9.0,88,1148167.95
8,上海,8,9.0,117,1020019.93
9,上海,10,6.0,247,440895.8
10,上海,11,2.0,18,189049.78
11,上海,12,2.0,36,318416.51
12,上海,15,2.0,79,326051.21
13,上海,17,1.0,3,150000.11
14,上海,20,2.0,109,165782.26
15,上海,25,1.0,16,452093.59
16,上海,30,1.0,53,159687.0
17,上海,50,1.0,39,270905.0
18,上海,60,1.0,14,150000.0
19,上海,120,1.0,1,230893.25
20,北京,0,1386.0,9082,8621981.35
21,北京,1,513.0,5370,7950950.25
22,北京,2,210.0,2947,5360254.54
23,北京,3,119.0,1865,4530695.13
24,北京,4,58.0,772,3159351.83
25,北京,5,41.0,882,3078464.95
26,北京,6,10.0,363,545077.55
27,北京,7,4.0,139,327458.9
28,北京,8,12.0,227,1423074.03
29,北京,9,5.0,57,146511.4
30,北京,10,17.0,422,3435389.35
31,北京,11,2.0,29,371506.78
32,北京,12,4.0,108,405152.56
33,北京,15,1.0,161,102000.0
34,北京,16,1.0,19,26000.0
35,北京,17,1.0,6,114999.98
36,北京,20,2.0,204,150520.0
37,北京,60,1.0,15,1120451.89
38,南京,0,61.0,334,206173.76
39,南京,1,36.0,353,217114.56
40,南京,2,12.0,146,110497.77
41,南京,3,10.0,106,247292.78
42,南京,4,4.0,38,48100.0
43,南京,5,3.0,29,40432.8
44,南京,7,1.0,12,79212.11
45,南京,8,1.0,17,12456.18
46,南京,10,4.0,30,262925.53
47,南京,20,1.0,19,236948.65
48,吉安,1,2.0,14,5300.0
49,吉安,2,2.0,15,11985.0
50,吉安,3,1.0,4,2000.0
51,大连,0,1.0,31,4500.0
52,大连,1,5.0,50,9900.0
53,大连,2,1.0,31,1500.0
54,天津,0,13.0,225,55582.22
55,天津,1,15.0,243,160926.7
56,天津,2,6.0,141,59256.02
57,天津,3,1.0,85,24400.0
58,天津,4,1.0,30,64000.02
