director_id,count
71,13
100,22
107,12
114,14
145,11
161,6
187,11
195,6
201,5
203,4
208,11
210,1
211,8
213,1
216,15
257,13
329,15
336,2
346,5
361,13
370,12
387,20
402,9
429,17
471,6
513,11
552,10
568,7
570,8
586,9
610,7
640,7
700,15
702,6
790,36
828,4
854,4
864,5
1022,10
1118,7
1216,12
1249,31
1250,4
1291,15
1298,24
1424,23
1436,12
1455,4
1474,20
1480,21
1508,12
1549,2
1618,12
1639,17
1711,7
1776,8
1781,2
1801,25
1809,7
1811,6
1906,2
1916,12
1992,12
1995,8
2090,33
2096,8
2111,17
2187,5
2216,20
2226,3
2261,18
2424,6
2696,7
2792,16
2811,9
2818,38
2824,21
2933,7
2934,10
2972,12
2988,6
3003,5
3015,12
3025,3
3061,45
3128,2
3158,4
3240,1
3273,11
3388,11
3559,4
3562,2
3591,2
3610,14
3690,11
3704,6
3706,5
3739,9
3748,2
3758,13
3863,28
3897,5
3900,4
3967,11
3994,5
4005,16
4016,25
4194,6
4205,22
4229,3
4258,5
4368,21
4423,6
4429,10
4477,6
4551,5
4612,8
4656,11
4670,12
4671,15
4719,9
4726,4
4752,5
4773,1
4787,10
4878,16
4907,6
4925,2
4963,7
5015,12
5050,1
5061,5
5078,2
5227,6
5308,1
5350,5
5379,3
5459,2
