city_name,district_name,street_name,new,area
上海,上海周边,嘉兴,1,1
上海,卢湾,淮海中路,1,1
上海,嘉定,丰庄,1,1
上海,嘉定,南翔,19,19
上海,嘉定,嘉定城区,4,4
上海,嘉定,嘉定新城,12,12
上海,嘉定,嘉定镇,5,5
上海,嘉定,安亭,6,6
上海,嘉定,新城,13,13
上海,嘉定,江桥,20,20
上海,嘉定,菊园新区,1,1
上海,嘉定,马陆,1,1
上海,奉贤,南桥,1,1
上海,奉贤,奉城,1,1
上海,奉贤,西渡,2,2
上海,宝山,上大,2,2
上海,宝山,共富,8,8
上海,宝山,共康,5,5
上海,宝山,其他,1,1
上海,宝山,友谊路,5,5
上海,宝山,吴淞,4,4
上海,宝山,大华,3,3
上海,宝山,大场,2,2
上海,宝山,月浦,1,1
上海,宝山,杨行,3,3
上海,宝山,水产路,1,1
上海,宝山,淞南,3,3
上海,宝山,淞宝,2,2
上海,宝山,罗南,1,1
上海,宝山,通河新村,2,2
上海,宝山,顾村,7,7
上海,宝山,高境,3,3
上海,徐汇,万体馆,36,36
上海,徐汇,上海南站,2,2
上海,徐汇,交大,3,3
上海,徐汇,其他,2,2
上海,徐汇,凌云路,1,1
上海,徐汇,建国西路,2,2
上海,徐汇,徐家汇,28,28
上海,徐汇,斜土路,10,10
上海,徐汇,枫林路,2,2
上海,徐汇,淮海西路,4,4
上海,徐汇,漕宝路地铁,7,7
上海,徐汇,漕河泾,42,42
上海,徐汇,肇嘉浜路,2,2
上海,徐汇,衡山路,1,1
上海,徐汇,襄阳南路,1,1
上海,徐汇,龙华,15,15
上海,普陀,中山北路,2,2
上海,普陀,中远两湾城,2,2
上海,普陀,光新,6,6
上海,普陀,其他,1,1
上海,普陀,华师大,1,1
上海,普陀,曹杨新村,14,14
上海,普陀,桃浦,5,5
上海,普陀,武宁路,3,3
上海,普陀,甘泉路,3,3
上海,普陀,真如,10,10
上海,普陀,金沙江路,13,13
上海,普陀,长寿路,11,11
上海,普陀,长征,4,4
上海,普陀,长风新村,11,11
上海,杨浦,东外滩,6,6
上海,杨浦,中原,2,2
上海,杨浦,五角场,46,46
上海,杨浦,其他,3,3
上海,杨浦,周家嘴路,3,3
上海,杨浦,四平路,3,3
上海,杨浦,复旦大学,2,2
上海,杨浦,平凉路,5,5
上海,杨浦,控江路,3,3
上海,杨浦,新江湾城,4,4
上海,杨浦,杨浦公园,1,1
上海,杨浦,长白新村,1,1
上海,杨浦,长阳路,7,7
上海,杨浦,鞍山,1,1
上海,杨浦,黄兴,1,1
上海,松江,中山,2,2
上海,松江,九亭,9,9
上海,松江,佘山,1,1
上海,松江,松江大学城,3,3
上海,松江,泗泾,1,1
上海,松江,洞泾,1,1
上海,浦东,三林,6,6
上海,浦东,上钢新村,3,3
上海,浦东,世博滨江,7,7
上海,浦东,世纪公园,6,6
上海,浦东,世纪大道,4,4
上海,浦东,东方路地铁,1,1
上海,浦东,东昌站地铁,1,1
上海,浦东,东明路,1,1
上海,浦东,八佰伴,23,23
上海,浦东,其他,2,2
上海,浦东,北蔡,11,11
上海,浦东,南码头,5,5
上海,浦东,周家渡,1,1
上海,浦东,周浦,3,3
上海,浦东,塘桥,13,13
上海,浦东,外高桥,7,7
上海,浦东,川沙,6,6
上海,浦东,康桥,13,13
上海,浦东,张江,45,45
上海,浦东,曹路,1,1
上海,浦东,洋泾,9,9
上海,浦东,浦东外环,1,1
上海,浦东,源深竹园,3,3
上海,浦东,竹园商贸区,11,11
上海,浦东,联洋,2,2
上海,浦东,金桥,24,24
上海,浦东,陆家嘴,24,24
上海,浦东,高桥,1,1
上海,浦东,高行,1,1
上海,浦东,龙阳路地铁站,1,1
上海,虹口,临平路,3,3
上海,虹口,凉城,1,1
上海,虹口,北外滩,2,2
上海,虹口,周家嘴路,4,4
上海,虹口,四川北路,13,13
上海,虹口,四平路,6,6
上海,虹口,大柏树,4,4
上海,虹口,曲阳路,1,1
上海,虹口,江湾,1,1
上海,虹口,虹口足球场,10,10
上海,长宁,中山公园,21,21
上海,长宁,仙霞新村,9,9
上海,长宁,北新泾,13,13
上海,长宁,古北,1,1
上海,长宁,天山路,11,11
上海,长宁,新华路,2,2
上海,长宁,江苏路,1,1
上海,长宁,江苏路地铁,5,5
上海,长宁,虹桥,3,3
上海,长宁,虹桥火车站,25,25
上海,闵行,七宝,25,25
上海,闵行,七莘路,7,7
上海,闵行,其他,1,1
上海,闵行,华漕,1,1
上海,闵行,南方商城,10,10
上海,闵行,古美罗阳,1,1
上海,闵行,春申,7,7
上海,闵行,浦江,23,23
上海,闵行,漕宝路,3,3
上海,闵行,老闵行,3,3
上海,闵行,莘庄,18,18
上海,闵行,虹桥,12,12
上海,闵行,虹梅路,1,1
上海,闵行,青年路,1,1
上海,闵行,颛桥,18,18
上海,闵行,龙柏金汇,3,3
上海,闸北,共和新路,7,7
上海,闸北,其他,1,1
上海,闸北,大宁路,12,12
