keywordId,onepv_uvc,mt_uvc,mt_pvc,uvc,pvc,sum(sr.impression),sum(sr.click),sum(sr.uv),sum(sr.pv),sum(sr.vppv),sum(sr.cost),avg(sr.position),terminal,subcategory,keyword,sc
2340264800,2.0,,,2,2,6,2,2,2,2,1.82,0.0,2.0,3.0,tit创业园租金,2
2340272658,,1.0,2.0,1,2,9,2,2,7,3,8.89,0.0,2.0,3.0,办公室出租网,2
2340272659,1.0,,,1,1,24,1,1,1,0,1.59,0.0,2.0,3.0,恒鑫大厦,1
2340272670,1.0,1.0,2.0,2,3,56,2,2,3,1,16.53,0.0,2.0,3.0,奥园大厦,2
2340272686,2.0,,,2,2,194,2,2,2,0,6.69,0.0,2.0,3.0,华海大厦,2
2340272689,1.0,,,1,1,32,2,1,1,0,6.86,0.0,2.0,3.0,瑞福大厦,2
2340272690,,1.0,2.0,1,2,28,1,1,2,0,6.35,0.0,2.0,3.0,粤电广场,1
2340272757,,1.0,5.0,1,5,2,2,1,5,1,10.52,0.0,2.0,3.0,广州机场路写字楼,2
2340272763,1.0,1.0,4.0,2,5,22,2,2,5,2,2.46,0.0,2.0,3.0,广州康乃馨商贸大厦,2
2340272768,,1.0,2.0,1,2,19,1,1,2,1,1.47,0.0,2.0,3.0,广州东澳创意小镇,1
2340272772,1.0,,,1,1,180,2,1,1,1,6.54,0.0,2.0,3.0,广州华海大厦,2
2340272775,3.0,,,3,3,126,2,3,3,3,14.93,0.0,2.0,3.0,广州石楼,2
2340272778,1.0,1.0,3.0,2,4,119,8,8,45,8,10.04,0.0,2.0,3.0,广州悦凯中心,8
2340272779,4.0,2.0,5.0,6,9,267,6,6,9,7,29.2,0.0,2.0,3.0,广州1850创意园,6
2340272788,1.0,,,1,1,77,1,1,1,1,2.32,0.0,2.0,3.0,广州保利中环广场,1
2340272793,3.0,,,3,3,97,3,3,3,2,21.38,0.0,2.0,3.0,广州达镖国际中心,3
2340272794,5.0,,,5,5,585,8,5,5,1,21.27,0.0,2.0,3.0,广州丽影广场,8
2340272795,,2.0,6.0,2,6,17,2,2,6,2,7.7,0.0,2.0,3.0,广州康富来大厦,2
2340272796,1.0,,,1,1,43,2,1,1,1,1.8,0.0,2.0,3.0,广州同泰壹号,2
2340272804,1.0,,,1,1,53,1,1,1,1,3.93,0.0,2.0,3.0,广州富力盈力大厦,1
2340272806,1.0,,,1,1,76,1,1,1,1,9.68,0.0,2.0,3.0,广州南丰汇,1
2340272808,1.0,,,1,1,43,1,1,1,1,3.69,0.0,2.0,3.0,广州瑞华大厦,1
2340272812,4.0,,,4,4,104,5,4,4,2,10.09,0.0,2.0,3.0,广州财智大厦,5
2340272833,1.0,1.0,2.0,2,3,90,2,2,3,0,21.24,0.0,2.0,3.0,广州写字楼,2
2340272835,1.0,,,1,1,2,1,1,1,0,0.76,0.0,2.0,3.0,广州商务办公室,1
2340272851,,1.0,3.0,1,3,198,2,2,8,1,8.64,0.0,2.0,3.0,写字楼,2
2340272852,2.0,1.0,3.0,3,5,128,3,3,5,0,11.66,0.0,2.0,3.0,办公室,3
2340272871,,1.0,2.0,1,2,72,2,1,2,2,2.66,0.0,2.0,3.0,广州番禺海伦堡创意园,2
2340272881,1.0,,,1,1,12,1,1,1,1,0.76,0.0,2.0,3.0,广州番禺巨大创意产业园,1
2340272891,1.0,,,1,1,24,1,1,1,1,0.6,0.0,2.0,3.0,番禺巨大创意产业园,1
2340272895,2.0,,,2,2,58,2,2,2,2,1.41,0.0,2.0,3.0,番禺海伦堡创意园,2
2340272962,2.0,,,2,2,33,2,2,2,2,6.93,0.0,2.0,3.0,广州天河时代广场,2
2340272971,1.0,,,1,1,250,4,1,1,0,25.06,0.0,2.0,3.0,广州天河正佳广场,4
2340272977,2.0,1.0,3.0,3,5,30,3,3,5,3,4.28,0.0,2.0,3.0,广州天河中信广场,3
2340272989,2.0,1.0,2.0,3,4,25,3,3,4,4,42.7,0.0,2.0,3.0,广州越秀金润铂宫,3
2340272990,1.0,,,1,1,18,1,1,1,1,1.99,0.0,2.0,3.0,广州天河城建大厦,1
2340272992,,1.0,3.0,1,3,42,1,1,3,2,2.16,0.0,2.0,3.0,广州天河太古汇,1
2340274003,,1.0,2.0,1,2,17,2,2,11,1,5.17,0.0,2.0,3.0,办公室租赁,2
2340274007,1.0,1.0,2.0,2,3,5,2,2,3,0,6.5,0.0,2.0,3.0,办公室出租网,2
2340274022,1.0,,,1,1,304,1,1,1,1,15.33,0.0,2.0,3.0,租太古汇,1
2340274027,1.0,,,1,1,22,1,1,1,1,11.28,0.0,2.0,3.0,广州番禺保利大都汇,1
2340274029,,1.0,3.0,1,3,10,1,1,3,0,0.94,0.0,2.0,3.0,办公楼租金,1
2340274030,2.0,5.0,10.0,7,12,75,10,8,14,0,10.97,0.0,2.0,3.0,写字楼租金,10
2340274032,4.0,10.0,84.0,14,88,70,26,24,172,64,312.9,0.0,2.0,3.0,好租网,26
2340274033,3.0,1.0,2.0,4,5,71,3,3,4,3,14.94,0.0,2.0,3.0,番禺保利大都汇,3
2340274036,,1.0,2.0,1,2,14,2,1,2,2,1.36,0.0,2.0,3.0,天河智汇park,2
2340274039,,1.0,2.0,1,2,476,9,2,9,2,47.58,0.0,2.0,3.0,天河正佳广场,9
2340274048,2.0,,,2,2,17,2,2,2,2,2.5,0.0,2.0,3.0,天河财富广场,2
2340274089,1.0,,,1,1,6,1,1,1,0,2.47,0.0,2.0,3.0,办公室合租,1
2340274198,1.0,1.0,3.0,2,4,17,3,3,20,10,10.69,0.0,2.0,3.0,好租,3
2340274220,1.0,,,1,1,70,1,1,1,0,2.77,0.0,2.0,3.0,首创禧瑞都,1
2340274232,1.0,,,1,1,38,1,1,1,0,2.69,0.0,2.0,3.0,新保利大厦,1
2340274235,1.0,,,1,1,60,1,1,1,0,0.88,0.0,2.0,3.0,歌华大厦,1
2340274292,1.0,,,1,1,10,3,2,11,7,43.71,0.0,2.0,3.0,大兴区写字楼出租,3
2340274913,1.0,,,1,1,8,1,1,1,0,0.83,0.0,2.0,3.0,东城办公室出租,1
2340274925,1.0,,,1,1,8,1,1,1,0,0.74,0.0,2.0,3.0,东城写字楼招租,1
2340274938,1.0,,,1,1,7,1,1,1,0,12.06,0.0,2.0,3.0,通州区工位出租,1
2340276197,1.0,,,1,1,16,1,1,1,0,1.73,0.0,2.0,3.0,万博商厦,1
2340276200,1.0,,,1,1,39,1,1,1,0,0.62,0.0,2.0,3.0,方圆大厦,1
2340276202,1.0,,,1,1,52,2,2,3,0,26.54,0.0,2.0,3.0,博雅西园,2
2340276205,2.0,,,2,2,267,2,2,2,0,10.37,0.0,2.0,3.0,当升科技,2
2340276211,2.0,,,2,2,156,2,2,2,0,17.4,0.0,2.0,3.0,当代moma,2
2340276213,1.0,,,1,1,21,2,1,1,0,3.0,0.0,2.0,3.0,元嘉国际,2
2340276223,1.0,,,1,1,61,1,1,1,0,11.99,0.0,2.0,3.0,红玺台,1
2340276224,1.0,,,1,1,72,1,1,1,0,0.83,0.0,2.0,3.0,四川大厦,1
2340276229,1.0,,,1,1,125,1,1,1,0,7.75,0.0,2.0,3.0,贵友大厦,1
2340276238,1.0,,,1,1,26,1,1,1,0,12.82,0.0,2.0,3.0,海棠居,1
