dt,all,1,2,3,2more,,
2017/1/1,4764,3162,569,1033,1602,,
2017/1/2,6439,4120,818,1501,2319,,
2017/1/3,13750,8265,1618,3867,5485,,
2017/1/4,15799,10076,1725,3998,5723,,
2017/1/5,16279,10517,1743,4019,5762,,
2017/1/6,15159,9854,1598,3707,5305,,
2017/1/7,7813,5141,800,1872,2672,,
2017/1/8,4503,2839,529,1135,1664,,
2017/1/9,12680,7499,1506,3675,5181,,
2017/1/10,15144,9717,1606,3821,5427,,
2017/1/11,14317,9078,1577,3662,5239,,
2017/1/12,13510,8673,1368,3469,4837,,
2017/1/13,12450,8308,1247,2895,4142,,
2017/1/14,7081,5328,628,1125,1753,,
2017/1/15,4775,3222,562,991,1553,,
2017/1/16,13271,8730,1478,3063,4541,,
2017/1/17,13347,9173,1323,2851,4174,,
2017/1/18,13134,8830,1421,2883,4304,,
2017/1/19,7157,5031,665,1461,2126,,
2017/1/20,4418,3241,376,801,1177,,
2017/1/21,621,280,98,243,341,,
2017/1/22,708,287,108,313,421,,
2017/1/23,702,295,103,304,407,,
2017/1/24,630,246,120,264,384,,
2017/1/25,537,207,111,219,330,,
2017/1/26,446,161,90,195,285,,
2017/1/27,367,116,77,174,251,,
2017/1/28,483,181,89,213,302,,
2017/1/29,482,185,99,198,297,,
2017/1/30,478,199,81,198,279,,
2017/1/31,565,274,104,187,291,,
2017/2/1,648,283,118,247,365,,
2017/2/2,859,430,150,279,429,,
2017/2/3,11584,7485,1249,2850,4099,,
2017/2/4,13947,8852,1475,3620,5095,,
2017/2/5,11687,8072,1174,2441,3615,,
2017/2/6,24006,16054,2355,5597,7952,,
2017/2/7,24596,16560,2352,5684,8036,,
2017/2/8,17652,10832,1934,4886,6820,,
2017/2/9,17885,11277,1791,4817,6608,,
2017/2/10,16008,10270,1595,4143,5738,,
2017/2/11,9479,7049,794,1636,2430,,
2017/2/12,7937,5295,815,1827,2642,,
2017/2/13,15105,8686,1840,4579,6419,,
2017/2/14,17455,11389,1777,4289,6066,,
2017/2/15,17099,10593,1883,4623,6506,,
2017/2/16,14800,8118,1902,4780,6682,,
2017/2/17,18415,11843,1841,4731,6572,,
2017/2/18,11324,8087,1076,2161,3237,,
2017/2/19,11984,8917,964,2103,3067,,
2017/2/20,16451,9403,2006,5042,7048,,
2017/2/21,14422,7595,1964,4863,6827,,
2017/2/22,13949,7235,1958,4756,6714,,
2017/2/23,13623,6864,1920,4839,6759,,
2017/2/24,12716,6639,1771,4306,6077,,
2017/2/25,7350,4113,1083,2154,3237,,
2017/2/26,6812,3788,962,2062,3024,,
2017/2/27,14175,7216,2023,4936,6959,,
2017/2/28,13508,6807,1919,4782,6701,,
2017/3/1,14505,7420,2093,4992,7085,,
2017/3/2,14555,7546,1996,5013,7009,,
2017/3/3,13343,7015,1876,4452,6328,,
2017/3/4,7050,3888,991,2171,3162,,
2017/3/5,7078,3925,1003,2150,3153,,
2017/3/6,14531,7558,2069,4904,6973,,
2017/3/7,14516,7884,2087,4545,6632,,
2017/3/8,13068,7170,1842,4056,5898,,
2017/3/9,14251,7805,1922,4524,6446,,
2017/3/10,12934,7050,1824,4060,5884,,
2017/3/11,6767,3816,1001,1950,2951,,
2017/3/12,6059,3583,842,1634,2476,,
2017/3/13,13832,7446,1890,4496,6386,,
2017/3/14,14590,8076,2000,4514,6514,,
