city,date,id
上海,2018-06-23~2018-06-29,566
北京,2018-06-23~2018-06-29,815
南京,2018-06-23~2018-06-29,26
天津,2018-06-23~2018-06-29,27
广州,2018-06-23~2018-06-29,216
成都,2018-06-23~2018-06-29,110
杭州,2018-06-23~2018-06-29,133
武汉,2018-06-23~2018-06-29,102
深圳,2018-06-23~2018-06-29,364
西安,2018-06-23~2018-06-29,44
重庆,2018-06-23~2018-06-29,19
上海,2018-06-16~2018-06-22,432
北京,2018-06-16~2018-06-22,587
南京,2018-06-16~2018-06-22,12
天津,2018-06-16~2018-06-22,21
广州,2018-06-16~2018-06-22,161
成都,2018-06-16~2018-06-22,110
杭州,2018-06-16~2018-06-22,106
武汉,2018-06-16~2018-06-22,88
深圳,2018-06-16~2018-06-22,277
西安,2018-06-16~2018-06-22,35
重庆,2018-06-16~2018-06-22,21
上海,2018-05-24~2018-05-30,533
北京,2018-05-24~2018-05-30,838
南京,2018-05-24~2018-05-30,18
天津,2018-05-24~2018-05-30,20
广州,2018-05-24~2018-05-30,196
成都,2018-05-24~2018-05-30,98
杭州,2018-05-24~2018-05-30,146
武汉,2018-05-24~2018-05-30,125
深圳,2018-05-24~2018-05-30,357
西安,2018-05-24~2018-05-30,30
重庆,2018-05-24~2018-05-30,17
