city,date,id
西安,2018-04-05,240328
武汉,2018-04-05,240329
上海,2018-04-05,240330
杭州,2018-04-05,240333
武汉,2018-04-05,240334
上海,2018-04-05,240335
上海,2018-04-05,240336
北京,2018-04-05,240337
武汉,2018-04-05,240338
深圳,2018-04-05,240339
深圳,2018-04-05,240340
北京,2018-04-05,240341
上海,2018-04-05,240343
广州,2018-04-05,240344
广州,2018-04-05,240345
北京,2018-04-05,240346
深圳,2018-04-05,240347
北京,2018-04-05,240348
成都,2018-04-05,240349
北京,2018-04-05,240350
杭州,2018-04-05,240351
深圳,2018-04-05,240352
北京,2018-04-05,240353
深圳,2018-04-05,240354
上海,2018-04-05,240355
北京,2018-04-05,240356
广州,2018-04-05,240357
北京,2018-04-05,240358
武汉,2018-04-05,240359
北京,2018-04-05,240360
北京,2018-04-05,240361
北京,2018-04-05,240363
北京,2018-04-05,240364
成都,2018-04-05,240365
成都,2018-04-05,240366
西安,2018-04-05,240367
杭州,2018-04-05,240368
上海,2018-04-05,240369
成都,2018-04-05,240370
北京,2018-04-05,240371
上海,2018-04-05,240372
上海,2018-04-05,240373
上海,2018-04-05,240374
北京,2018-04-05,240375
武汉,2018-04-05,240376
北京,2018-04-05,240377
北京,2018-04-05,240378
广州,2018-04-05,240379
广州,2018-04-05,240381
北京,2018-04-05,240382
广州,2018-04-05,240383
深圳,2018-04-05,240384
上海,2018-04-05,240385
北京,2018-04-05,240386
北京,2018-04-05,240388
北京,2018-04-05,240389
杭州,2018-04-05,240390
成都,2018-04-05,240392
北京,2018-04-05,240393
成都,2018-04-05,240395
北京,2018-04-05,240396
杭州,2018-04-05,240397
上海,2018-04-05,240398
上海,2018-04-05,240399
成都,2018-04-05,240400
北京,2018-04-05,240401
上海,2018-04-05,240402
北京,2018-04-05,240403
北京,2018-04-05,240404
上海,2018-04-05,240405
天津,2018-04-05,240406
上海,2018-04-05,240407
成都,2018-04-05,240408
上海,2018-04-05,240409
深圳,2018-04-05,240410
北京,2018-04-05,240412
北京,2018-04-05,240414
上海,2018-04-05,240415
广州,2018-04-05,240416
天津,2018-04-05,240417
深圳,2018-04-05,240418
武汉,2018-04-05,240419
北京,2018-04-05,240420
上海,2018-04-05,240421
北京,2018-04-05,240422
上海,2018-04-05,240423
武汉,2018-04-06,240426
上海,2018-04-06,240427
广州,2018-04-06,240428
成都,2018-04-06,240429
深圳,2018-04-06,240430
武汉,2018-04-06,240431
深圳,2018-04-06,240432
北京,2018-04-06,240433
上海,2018-04-06,240434
上海,2018-04-06,240435
广州,2018-04-06,240436
上海,2018-04-06,240437
武汉,2018-04-06,240438
成都,2018-04-06,240439
北京,2018-04-06,240440
深圳,2018-04-06,240441
北京,2018-04-06,240442
北京,2018-04-06,240443
广州,2018-04-06,240444
杭州,2018-04-06,240445
深圳,2018-04-06,240446
北京,2018-04-06,240447
北京,2018-04-06,240449
成都,2018-04-06,240450
上海,2018-04-06,240452
深圳,2018-04-06,240453
北京,2018-04-06,240454
武汉,2018-04-06,240455
上海,2018-04-06,240456
深圳,2018-04-06,240457
深圳,2018-04-06,240458
深圳,2018-04-06,240459
武汉,2018-04-06,240460
上海,2018-04-06,240461
北京,2018-04-06,240462
北京,2018-04-06,240463
北京,2018-04-06,240464
天津,2018-04-06,240465
成都,2018-04-06,240466
杭州,2018-04-06,240467
上海,2018-04-06,240468
广州,2018-04-06,240469
深圳,2018-04-06,240470
深圳,2018-04-06,240471
深圳,2018-04-06,240472
杭州,2018-04-06,240475
武汉,2018-04-06,240476
杭州,2018-04-06,240477
杭州,2018-04-06,240478
成都,2018-04-06,240479
武汉,2018-04-06,240480
北京,2018-04-06,240482
北京,2018-04-06,240485
广州,2018-04-06,240487
北京,2018-04-06,240488
北京,2018-04-06,240489
杭州,2018-04-06,240490
上海,2018-04-06,240491
上海,2018-04-06,240492
广州,2018-04-06,240493
武汉,2018-04-06,240494
深圳,2018-04-06,240495
成都,2018-04-06,240496
深圳,2018-04-06,240497
成都,2018-04-06,240498
西安,2018-04-06,240499
广州,2018-04-06,240500
北京,2018-04-06,240501
广州,2018-04-06,240502
上海,2018-04-06,240503
北京,2018-04-06,240504
上海,2018-04-06,240505
北京,2018-04-06,240506
天津,2018-04-06,240507
广州,2018-04-06,240508
北京,2018-04-06,240509
北京,2018-04-07,240510
深圳,2018-04-07,240511
北京,2018-04-07,240512
武汉,2018-04-07,240513
深圳,2018-04-07,240514
深圳,2018-04-07,240515
南京,2018-04-07,240516
杭州,2018-04-07,240517
北京,2018-04-07,240518
上海,2018-04-07,240520
深圳,2018-04-07,240521
上海,2018-04-07,240522
武汉,2018-04-07,240524
武汉,2018-04-07,240525
北京,2018-04-07,240526
上海,2018-04-07,240527
深圳,2018-04-07,240528
成都,2018-04-07,240529
杭州,2018-04-07,240530
武汉,2018-04-07,240531
杭州,2018-04-07,240532
上海,2018-04-07,240533
上海,2018-04-07,240534
上海,2018-04-07,240536
上海,2018-04-07,240537
上海,2018-04-07,240539
武汉,2018-04-07,240540
深圳,2018-04-07,240541
北京,2018-04-07,240542
广州,2018-04-07,240543
成都,2018-04-07,240544
北京,2018-04-07,240546
深圳,2018-04-07,240547
上海,2018-04-07,240548
深圳,2018-04-07,240549
北京,2018-04-07,240550
武汉,2018-04-07,240551
武汉,2018-04-07,240552
上海,2018-04-07,240553
北京,2018-04-07,240554
上海,2018-04-07,240555
深圳,2018-04-07,240558
杭州,2018-04-07,240560
成都,2018-04-07,240561
武汉,2018-04-07,240562
成都,2018-04-07,240563
成都,2018-04-07,240564
北京,2018-04-07,240565
武汉,2018-04-07,240566
北京,2018-04-07,240567
深圳,2018-04-07,240568
杭州,2018-04-07,240569
深圳,2018-04-07,240570
上海,2018-04-07,240571
深圳,2018-04-07,240572
深圳,2018-04-07,240573
天津,2018-04-07,240574
成都,2018-04-07,240575
成都,2018-04-07,240577
武汉,2018-04-07,240578
上海,2018-04-07,240579
深圳,2018-04-07,240580
杭州,2018-04-07,240581
上海,2018-04-07,240582
天津,2018-04-07,240583
北京,2018-04-07,240584
成都,2018-04-07,240585
北京,2018-04-07,240586
上海,2018-04-07,240588
北京,2018-04-07,240589
深圳,2018-04-07,240590
深圳,2018-04-07,240592
广州,2018-04-07,240593
杭州,2018-04-07,240595
北京,2018-04-07,240596
上海,2018-04-07,240597
北京,2018-04-07,240598
北京,2018-04-07,240599
广州,2018-04-07,240600
武汉,2018-04-07,240601
成都,2018-04-07,240602
北京,2018-04-07,240603
广州,2018-04-07,240604
深圳,2018-04-07,240605
武汉,2018-04-07,240606
上海,2018-04-07,240607
上海,2018-04-07,240608
广州,2018-04-07,240609
深圳,2018-04-07,240610
广州,2018-04-07,240611
成都,2018-04-07,240612
上海,2018-04-07,240613
北京,2018-04-07,240614
南京,2018-04-07,240617
上海,2018-04-07,240618
北京,2018-04-07,240619
深圳,2018-04-07,240620
杭州,2018-04-07,240621
武汉,2018-04-07,240622
杭州,2018-04-07,240623
北京,2018-04-07,240624
上海,2018-04-07,240626
上海,2018-04-07,240627
天津,2018-04-07,240628
上海,2018-04-08,240629
成都,2018-04-08,240630
北京,2018-04-08,240631
西安,2018-04-08,240633
北京,2018-04-08,240634
广州,2018-04-08,240635
上海,2018-04-08,240636
深圳,2018-04-08,240637
北京,2018-04-08,240638
杭州,2018-04-08,240639
武汉,2018-04-08,240640
上海,2018-04-08,240641
广州,2018-04-08,240642
上海,2018-04-08,240643
上海,2018-04-08,240644
武汉,2018-04-08,240645
广州,2018-04-08,240646
北京,2018-04-08,240647
上海,2018-04-08,240648
北京,2018-04-08,240649
天津,2018-04-08,240650
杭州,2018-04-08,240651
深圳,2018-04-08,240652
成都,2018-04-08,240653
上海,2018-04-08,240655
北京,2018-04-08,240656
北京,2018-04-08,240657
上海,2018-04-08,240658
上海,2018-04-08,240659
广州,2018-04-08,240660
北京,2018-04-08,240661
成都,2018-04-08,240662
武汉,2018-04-08,240663
广州,2018-04-08,240664
上海,2018-04-08,240666
北京,2018-04-08,240667
上海,2018-04-08,240668
北京,2018-04-08,240669
北京,2018-04-08,240670
杭州,2018-04-08,240671
上海,2018-04-08,240672
北京,2018-04-08,240673
北京,2018-04-08,240674
西安,2018-04-08,240675
北京,2018-04-08,240677
北京,2018-04-08,240678
北京,2018-04-08,240679
成都,2018-04-08,240680
深圳,2018-04-08,240681
北京,2018-04-08,240682
上海,2018-04-08,240683
成都,2018-04-08,240684
上海,2018-04-08,240685
深圳,2018-04-08,240687
深圳,2018-04-08,240688
北京,2018-04-08,240689
深圳,2018-04-08,240690
北京,2018-04-08,240693
北京,2018-04-08,240694
广州,2018-04-08,240695
上海,2018-04-08,240696
北京,2018-04-08,240697
上海,2018-04-08,240699
天津,2018-04-08,240700
成都,2018-04-08,240701
北京,2018-04-08,240702
天津,2018-04-08,240703
北京,2018-04-08,240704
北京,2018-04-08,240705
上海,2018-04-08,240706
广州,2018-04-08,240708
北京,2018-04-08,240709
武汉,2018-04-08,240710
上海,2018-04-08,240711
深圳,2018-04-08,240712
广州,2018-04-08,240713
北京,2018-04-08,240714
北京,2018-04-08,240716
成都,2018-04-08,240717
武汉,2018-04-08,240718
北京,2018-04-08,240719
北京,2018-04-08,240720
武汉,2018-04-08,240721
上海,2018-04-08,240722
北京,2018-04-08,240723
深圳,2018-04-08,240724
北京,2018-04-08,240725
深圳,2018-04-08,240726
武汉,2018-04-08,240728
深圳,2018-04-08,240729
武汉,2018-04-08,240730
深圳,2018-04-08,240731
武汉,2018-04-08,240733
北京,2018-04-08,240734
北京,2018-04-08,240735
成都,2018-04-08,240736
北京,2018-04-08,240737
上海,2018-04-08,240739
上海,2018-04-08,240740
上海,2018-04-08,240741
上海,2018-04-08,240742
北京,2018-04-08,240743
上海,2018-04-08,240745
西安,2018-04-08,240746
北京,2018-04-08,240747
成都,2018-04-08,240749
成都,2018-04-08,240750
北京,2018-04-08,240751
北京,2018-04-08,240752
深圳,2018-04-08,240753
天津,2018-04-08,240754
北京,2018-04-08,240756
上海,2018-04-08,240757
上海,2018-04-08,240758
深圳,2018-04-08,240759
上海,2018-04-08,240760
北京,2018-04-08,240761
上海,2018-04-08,240762
广州,2018-04-08,240763
广州,2018-04-08,240764
北京,2018-04-08,240765
北京,2018-04-08,240766
南京,2018-04-08,240767
北京,2018-04-08,240768
上海,2018-04-08,240769
武汉,2018-04-08,240770
成都,2018-04-08,240771
上海,2018-04-08,240772
北京,2018-04-08,240773
深圳,2018-04-08,240774
北京,2018-04-08,240775
北京,2018-04-08,240776
广州,2018-04-08,240778
成都,2018-04-08,240779
上海,2018-04-08,240781
上海,2018-04-08,240782
成都,2018-04-08,240783
上海,2018-04-08,240784
广州,2018-04-08,240785
上海,2018-04-08,240786
北京,2018-04-08,240787
南京,2018-04-08,240788
上海,2018-04-08,240789
武汉,2018-04-08,240790
武汉,2018-04-08,240792
北京,2018-04-08,240793
上海,2018-04-08,240794
上海,2018-04-08,240795
上海,2018-04-08,240796
广州,2018-04-08,240797
上海,2018-04-08,240798
成都,2018-04-08,240799
深圳,2018-04-08,240801
北京,2018-04-08,240802
北京,2018-04-08,240804
北京,2018-04-08,240805
上海,2018-04-08,240806
武汉,2018-04-08,240807
深圳,2018-04-08,240808
深圳,2018-04-08,240809
上海,2018-04-08,240810
成都,2018-04-08,240812
北京,2018-04-08,240813
上海,2018-04-08,240815
杭州,2018-04-08,240816
北京,2018-04-08,240817
武汉,2018-04-08,240818
深圳,2018-04-08,240819
北京,2018-04-08,240820
上海,2018-04-08,240822
深圳,2018-04-08,240823
成都,2018-04-08,240824
深圳,2018-04-08,240825
北京,2018-04-08,240826
广州,2018-04-08,240827
北京,2018-04-08,240828
北京,2018-04-08,240829
杭州,2018-04-08,240830
广州,2018-04-08,240831
杭州,2018-04-08,240832
深圳,2018-04-08,240833
上海,2018-04-08,240835
杭州,2018-04-08,240836
杭州,2018-04-08,240837
武汉,2018-04-08,240838
北京,2018-04-08,240839
深圳,2018-04-08,240840
北京,2018-04-08,240841
上海,2018-04-08,240842
广州,2018-04-08,240843
深圳,2018-04-08,240844
成都,2018-04-08,240846
杭州,2018-04-08,240847
上海,2018-04-08,240848
深圳,2018-04-08,240849
上海,2018-04-08,240850
北京,2018-04-08,240851
杭州,2018-04-08,240852
北京,2018-04-08,240853
北京,2018-04-08,240854
北京,2018-04-08,240855
北京,2018-04-08,240856
上海,2018-04-08,240857
北京,2018-04-08,240858
成都,2018-04-08,240859
广州,2018-04-08,240860
北京,2018-04-08,240861
上海,2018-04-08,240862
北京,2018-04-08,240863
深圳,2018-04-08,240864
深圳,2018-04-08,240865
上海,2018-04-08,240866
杭州,2018-04-08,240867
上海,2018-04-08,240869
成都,2018-04-08,240870
成都,2018-04-08,240871
北京,2018-04-08,240872
北京,2018-04-08,240873
深圳,2018-04-08,240874
上海,2018-04-08,240875
北京,2018-04-08,240876
北京,2018-04-08,240877
西安,2018-04-08,240878
深圳,2018-04-08,240879
杭州,2018-04-08,240880
深圳,2018-04-08,240881
广州,2018-04-08,240882
深圳,2018-04-08,240883
上海,2018-04-08,240884
上海,2018-04-08,240885
武汉,2018-04-08,240887
北京,2018-04-08,240888
上海,2018-04-08,240890
上海,2018-04-08,240891
北京,2018-04-08,240892
北京,2018-04-08,240893
成都,2018-04-08,240894
上海,2018-04-08,240896
深圳,2018-04-08,240897
北京,2018-04-08,240899
北京,2018-04-08,240900
上海,2018-04-08,240901
广州,2018-04-08,240902
深圳,2018-04-08,240903
成都,2018-04-08,240904
深圳,2018-04-08,240905
上海,2018-04-08,240906
成都,2018-04-08,240907
上海,2018-04-08,240908
西安,2018-04-08,240909
北京,2018-04-08,240910
天津,2018-04-08,240911
上海,2018-04-08,240912
武汉,2018-04-08,240913
武汉,2018-04-08,240914
北京,2018-04-08,240915
深圳,2018-04-08,240916
广州,2018-04-08,240919
北京,2018-04-08,240920
北京,2018-04-08,240921
北京,2018-04-08,240922
北京,2018-04-08,240923
北京,2018-04-08,240924
上海,2018-04-08,240925
杭州,2018-04-08,240926
北京,2018-04-08,240927
上海,2018-04-08,240928
上海,2018-04-08,240929
