西安-西安-西安	碑林/未央/高新/莲湖/新城/雁塔
北京-北京-北京	朝阳/海淀/昌平/丰台/大兴/燕郊
苏州-苏州-苏州	园区/新区/吴中/昆山/吴江/沧浪
南京-南京-南京	浦口/江宁/六合/鼓楼/白下/玄武
成都-成都-成都	青羊/武侯/其他/双流/金牛/锦江
长春-长春-长春	宽城/南关/绿园/朝阳/二道/经开
大连-大连-大连	甘井子/开发区/沙河口/金州/中山/旅顺口
沈阳-沈阳-沈阳	铁西/大东/皇姑/于洪/和平/沈河
广州-广州-广州	番禺/天河/海珠/白云/越秀/南沙
深圳-深圳-深圳	宝安/龙岗/福田/罗湖/南山/盐田
重庆-重庆-重庆	渝北/南岸/九龙坡/江北/其他市县/渝中
上海-上海-上海	闵行/浦东/宝山/徐汇/松江/嘉定
武汉-武汉-武汉	武昌/洪山/江岸/东西湖/江汉/汉阳
杭州-杭州-杭州	西湖/滨江/余杭/江干/拱墅/上城
天津-天津-天津	塘沽/河东/南开/河西/河北/大港
西安-蓝田-蓝田	临潼/阎良/灞桥/高陵县/浐灞/新城
西安-长安-长安	雁塔/碑林/曲江新区/莲湖/高新/未央
西安-灞桥-灞桥	浐灞/新城/高陵县/曲江新区/碑林/长安
西安-临潼-临潼	阎良/蓝田/高陵县/灞桥/浐灞/新城
西安-沣渭新区-沣渭新区	户县/高新/莲湖/未央/雁塔/长安
西安-高陵县-高陵县	灞桥/浐灞/新城/临潼/阎良/曲江新区
西安-雁塔-雁塔	碑林/长安/莲湖/曲江新区/高新/未央
西安-新城-新城	浐灞/曲江新区/灞桥/碑林/长安/雁塔
西安-未央-未央	莲湖/高新/雁塔/碑林/曲江新区/长安
西安-碑林-碑林	曲江新区/雁塔/长安/未央/莲湖/新城
西安-阎良-阎良	临潼/高陵县/蓝田/灞桥/浐灞/新城
西安-曲江新区-曲江新区	碑林/长安/雁塔/新城/未央/浐灞
西安-高新-高新	莲湖/雁塔/未央/长安/碑林/曲江新区
西安-浐灞-浐灞	新城/灞桥/曲江新区/碑林/高陵县/长安
西安-户县-户县	沣渭新区/高新/莲湖/未央/雁塔/长安
西安-莲湖-莲湖	高新/未央/雁塔/碑林/长安/曲江新区
西安-周至县-周至县	户县/沣渭新区/高新/莲湖/未央/雁塔
北京-密云-密云	北京周边/燕郊/怀柔/顺义/通州/平谷
北京-石景山-石景山	丰台/房山/门头沟/海淀/昌平/宣武
北京-通州-通州	顺义/北京周边/燕郊/怀柔/朝阳/崇文
北京-房山-房山	石景山/门头沟/丰台/海淀/大兴/宣武
北京-顺义-顺义	怀柔/通州/北京周边/燕郊/密云/朝阳
北京-昌平-昌平	石景山/海淀/丰台/门头沟/西城/宣武
北京-丰台-丰台	海淀/宣武/大兴/西城/石景山/东城
北京-宣武-宣武	西城/海淀/大兴/丰台/东城/崇文
北京-怀柔-怀柔	顺义/通州/密云/北京周边/燕郊/朝阳
北京-平谷-平谷	密云/北京周边/燕郊/顺义/通州/怀柔
北京-海淀-海淀	丰台/宣武/西城/大兴/石景山/东城
北京-西城-西城	宣武/东城/海淀/崇文/朝阳/丰台
北京-燕郊-燕郊	北京周边/通州/顺义/密云/怀柔/平谷
北京-朝阳-朝阳	崇文/东城/西城/宣武/大兴/海淀
北京-大兴-大兴	宣武/丰台/西城/海淀/东城/崇文
北京-门头沟-门头沟	房山/石景山/昌平/丰台/海淀/大兴
北京-东城-东城	崇文/朝阳/西城/宣武/海淀/大兴
北京-崇文-崇文	朝阳/东城/西城/宣武/大兴/海淀
北京-延庆-延庆	门头沟/昌平/石景山/房山/海淀/丰台
北京-北京周边-北京周边	燕郊/通州/顺义/密云/怀柔/平谷
苏州-张家港-张家港	常熟/相城/园区/平江/金阊/沧浪
苏州-常熟-常熟	张家港/昆山/相城/园区/平江/沧浪
苏州-沧浪-沧浪	平江/吴中/金阊/相城/园区/吴江市
苏州-昆山-昆山	常熟/太仓/园区/相城/吴江市/吴中
苏州-太仓-太仓	昆山/常熟/园区/相城/张家港/沧浪
苏州-吴江市-吴江市	吴中/沧浪/平江/园区/金阊/相城
苏州-园区-园区	相城/沧浪/平江/吴中/金阊/吴江市
苏州-金阊-金阊	平江/沧浪/吴中/相城/园区/新区
苏州-平江-平江	沧浪/吴中/金阊/相城/园区/吴江市
苏州-新区-新区	金阊/吴中/平江/沧浪/相城/吴江市
苏州-吴中-吴中	沧浪/平江/金阊/园区/吴江市/相城
苏州-相城-相城	平江/沧浪/园区/金阊/吴中/吴江市
南京-下关-下关	鼓楼/秦淮/大厂/白下/建邺/玄武
南京-秦淮-秦淮	白下/玄武/下关/鼓楼/江宁/建邺
南京-江宁-江宁	秦淮/白下/玄武/鼓楼/雨花台/下关
南京-浦口-浦口	雨花台/建邺/鼓楼/大厂/下关/秦淮
南京-白下-白下	秦淮/玄武/下关/江宁/鼓楼/建邺
南京-高淳-高淳	溧水/江宁/白下/秦淮/玄武/栖霞
南京-六合-六合	大厂/下关/玄武/鼓楼/白下/秦淮
南京-玄武-玄武	白下/秦淮/下关/鼓楼/江宁/大厂
南京-建邺-建邺	鼓楼/雨花台/下关/秦淮/大厂/白下
南京-鼓楼-鼓楼	下关/建邺/秦淮/白下/大厂/雨花台
南京-栖霞-栖霞	玄武/白下/秦淮/六合/下关/溧水
